id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/4183f327-e2a6-4b1a-9d23-161da1b5e261,Aaron Michlewitz,Democratic,Third Suffolk,lower,Aaron,Michlewitz,,,,,https://malegislature.gov/Legislators/Profile/170/AMM1.jpg,https://malegislature.gov/Legislators/Profile/AMM1,https://malegislature.gov/Legislators/Profile/AMM1,"24 Beacon St.;Room 254;Boston, MA, 02133",,617-722-2220,617-570-6575,,Aaron.M.Michlewitz@mahouse.gov,,,,,,
ocd-person/445ac849-5e68-4714-adda-759425ad72cf,Aaron Vega,Democratic,Fifth Hampden,lower,Aaron,Vega,,,,,https://malegislature.gov/Legislators/Profile/170/A_V1.jpg,https://malegislature.gov/Legislators/Profile/A_V1,https://malegislature.gov/Legislators/Profile/A_V1,"24 Beacon St.;Room 146;Boston, MA, 02133",,617-722-2011,617-626-2224,"295 High Street;Second Floor;Holyoke, MA 01040",Aaron.Vega@mahouse.gov,413-650-2727,,,,,
ocd-person/9b401ed2-b8a6-446d-87f1-080f944360a8,Adam G. Hinds,Democratic,"Berkshire, Hampshire, Franklin and Hampden",upper,Adam,Hinds,,,,,https://malegislature.gov/Legislators/Profile/170/AGH0.jpg,https://malegislature.gov/Legislators/Profile/AGH0,https://malegislature.gov/Legislators/Profile/AGH0,"24 Beacon St.;Room 309;Boston, MA, 02133",,617-722-1625,617-722-1523,"100 North Street;Suite 410;Pittsfield, MA 01201",adam.hinds@masenate.gov,413-344-4561,,,,,
ocd-person/f8772f1e-29f7-42e2-8a8c-ab4005153b05,Adrian Madaro,Democratic,First Suffolk,lower,Adrian,Madaro,,,,,https://malegislature.gov/Legislators/Profile/170/ACM1.jpg,https://malegislature.gov/Legislators/Profile/ACM1,https://malegislature.gov/Legislators/Profile/ACM1,"24 Beacon St.;Room 473B;Boston, MA, 02133",,617-722-2263,,,Adrian.Madaro@mahouse.gov,,,,,,
ocd-person/6e81dcb7-4a04-4a88-b5f2-728a3336cf9d,Alan Silvia,Democratic,Seventh Bristol,lower,Alan,Silvia,,,,,https://malegislature.gov/Legislators/Profile/170/A_S1.jpg,https://malegislature.gov/Legislators/Profile/A_S1,https://malegislature.gov/Legislators/Profile/A_S1,"24 Beacon St.;Room 167;Boston, MA, 02133",,617-722-2230,617-626-0168,"1664 South Main St.;Fall River, MA 02724",Alan.Silvia@mahouse.gov,774-526-1122,,,,,
ocd-person/2a9569a0-feaf-431d-8a8d-012d8ebccbf8,Alice Hanlon Peisch,Democratic,Fourteenth Norfolk,lower,Alice Hanlon,Peisch,,,,,https://malegislature.gov/Legislators/Profile/170/AHP1.jpg,https://malegislature.gov/Legislators/Profile/AHP1,https://malegislature.gov/Legislators/Profile/AHP1,"24 Beacon St.;Room 473G;Boston, MA, 02133",,617-722-2070,,,Alice.Peisch@mahouse.gov,,,,,,
ocd-person/bed31f9a-e759-41a5-80b6-8b6bb9a64762,Alyson M. Sullivan,Republican,Seventh Plymouth,lower,,,,,,,https://malegislature.gov/Legislators/Profile/170/AMS2.jpg,https://malegislature.gov/Legislators/Profile/AMS2,https://malegislature.gov/Legislators/Profile/AMS2,"24 Beacon St.;Room B2;Boston, MA, 02133",,617-722-2425,,,alyson.sullivan@mahouse.gov,,,,,,
ocd-person/c1f81bec-d032-4f41-940c-ca32f2b5af12,Andres X. Vargas,Democratic,Third Essex,lower,Andres X.,Vargas,,,,,https://malegislature.gov/Legislators/Profile/170/AXV1.jpg,https://malegislature.gov/Legislators/Profile/AXV1,https://malegislature.gov/Legislators/Profile/AXV1,"24 Beacon St.;Room 39;Boston, MA, 02133",,617-722-2014,,,andy.vargas@mahouse.gov,,,,,,
ocd-person/8302648f-4ed2-454e-ad1e-d7389e25b8dc,"Angelo J. Puppolo, Jr.",Democratic,Twelfth Hampden,lower,Angelo,Puppolo,,,,,https://malegislature.gov/Legislators/Profile/170/AJP1.jpg,https://malegislature.gov/Legislators/Profile/AJP1,https://malegislature.gov/Legislators/Profile/AJP1,"24 Beacon St.;Room 122;Boston, MA, 02133",,617-722-2006,617-722-2848,"2341 Boston Road;Suite 204;Wilbraham, MA 01095",Angelo.Puppolo@mahouse.gov,413-596-4333,,,,,
ocd-person/650d9459-5ecd-4e1a-8a96-f061a15e0ebc,Angelo L. D'Emilia,Republican,Eighth Plymouth,lower,Angelo,D'Emilia,,,,,https://malegislature.gov/Legislators/Profile/170/ALD1.jpg,https://malegislature.gov/Legislators/Profile/ALD1,https://malegislature.gov/Legislators/Profile/ALD1,"24 Beacon St.;Room 548;Boston, MA, 02133",,617-722-2488,617-626-0170,"31 Perkins Street;Bridgewater, MA 02324",Angelo.D'Emilia@mahouse.gov,508-697-2700,,,,,
