id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/094c65c5-5c69-4eee-b462-368aadcc6260,Adam Wool,Democratic,5,lower,Adam,Wool,,,,,http://akleg.gov/images/legislators/woo.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=woo;http://www.akleg.gov/basis/Member/Detail/31?code=woo,http://www.akleg.gov/basis/Member/Detail/30?code=woo;http://w3.akleg.gov/,"State Capitol Room 412; Juneau AK, 99801",Representative.Adam.Wool@akleg.gov,907-465-4976,,,,,,,,,
ocd-person/7db414a5-dd7e-48a9-aba2-9c0204f93a5c,Andi Story,Democratic,34,lower,Andi,Story,,,,,http://akleg.gov/images/legislators/sto.jpg,http://www.akleg.gov/basis/Member/Detail/31?code=sto,http://w3.akleg.gov/,"State Capitol Room 24; Juneau AK, 99801",Representative.Andi.Story@akleg.gov,907-465-3744,,,,,,,,,
ocd-person/e1989648-fdd3-4e88-a0f0-9e27e75c0f03,Andy Josephson,Democratic,17,lower,Andy,Josephson,,,,,http://akleg.gov/images/legislators/jos.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=jos;http://www.akleg.gov/basis/Member/Detail/31?code=jos,http://www.akleg.gov/basis/Member/Detail/30?code=jos;http://w3.akleg.gov/,"State Capitol Room 102; Juneau AK, 99801",Representative.Andy.Josephson@akleg.gov,907-465-4939,,,,,,,,,
ocd-person/9444c6e5-945d-4bae-b8b7-9a78226a0742,Barton LeBon,Republican,1,lower,Barton,LeBon,,,,,http://akleg.gov/images/legislators/leb.jpg,http://www.akleg.gov/basis/Member/Detail/31?code=leb,http://w3.akleg.gov/,"State Capitol Room 502; Juneau AK, 99801",Representative.Barton.LeBon@akleg.gov,907-465-3709,,,,,,,,,
ocd-person/64873656-b474-406d-a93a-e46fa281bc19,Ben Carpenter,Republican,29,lower,Ben,Carpenter,,,,,http://akleg.gov/images/legislators/cae.jpg,http://www.akleg.gov/basis/Member/Detail/31?code=cae,http://w3.akleg.gov/,"State Capitol Room 434; Juneau AK, 99801",Representative.Ben.Carpenter@akleg.gov,907-465-3779,,,,,,,,,
ocd-person/bfdc2ee2-7760-4119-9d68-4962f1e1a285,Bert Stedman,Republican,R,upper,Bert,Stedman,,,,,http://akleg.gov/images/legislators/smn.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=smn;http://www.akleg.gov/basis/Member/Detail/31?code=smn,http://www.akleg.gov/basis/Member/Detail/30?code=smn;http://w3.akleg.gov/,"State Capitol Room 518; Juneau AK, 99801",Senator.Bert.Stedman@akleg.gov,907-465-3873,,,,,,,,,
ocd-person/57554431-caac-4074-a8d8-40a4e6289ec1,Bill Wielechowski,Democratic,H,upper,Bill,Wielechowski,,,,,http://akleg.gov/images/legislators/wie.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=wie;http://www.akleg.gov/basis/Member/Detail/31?code=wie,http://www.akleg.gov/basis/Member/Detail/30?code=wie;http://w3.akleg.gov/,"State Capitol Room 9; Juneau AK, 99801",Senator.Bill.Wielechowski@akleg.gov,907-465-2435,,,,,,,,,
ocd-person/b097e069-345d-42da-b821-0c2c9747ccfc,Bryce Edgmon,Democratic,37,lower,Bryce,Edgmon,,,,,http://akleg.gov/images/legislators/edg.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=edg;http://www.akleg.gov/basis/Member/Detail/31?code=edg,http://www.akleg.gov/basis/Member/Detail/30?code=edg;http://w3.akleg.gov/,"State Capitol Room 208; Juneau AK, 99801",Representative.Bryce.Edgmon@akleg.gov,907-465-4451,,,,,,,,,
ocd-person/4ac9a4bf-e2d9-4257-a360-9e91dc234deb,Cathy Giessel,Republican,N,upper,Cathy,Giessel,,,,,http://akleg.gov/images/legislators/gie.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=gie;http://www.akleg.gov/basis/Member/Detail/31?code=gie,http://www.akleg.gov/basis/Member/Detail/30?code=gie;http://w3.akleg.gov/,"State Capitol Room 111; Juneau AK, 99801",Senator.Cathy.Giessel@akleg.gov,907-465-4843,,,,,,,,,
ocd-person/f1816065-31d1-4757-b8b9-714e15daeccf,Cathy Tilton,Republican,12,lower,Cathy,Tilton,,,,,http://akleg.gov/images/legislators/tlt.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=tlt;http://www.akleg.gov/basis/Member/Detail/31?code=tlt,http://www.akleg.gov/basis/Member/Detail/30?code=tlt;http://w3.akleg.gov/,"State Capitol Room 400; Juneau AK, 99801",Representative.Cathy.Tilton@akleg.gov,907-465-2199,,,,,,,,,
ocd-person/65974668-d586-44b8-ac42-c3d0866f00e0,Chris Birch,Republican,M,upper,Chris,Birch,,,,,http://akleg.gov/images/legislators/bir.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=bir;http://www.akleg.gov/basis/Member/Detail/31?code=bir,http://www.akleg.gov/basis/Member/Detail/30?code=bir;http://w3.akleg.gov/,"State Capitol Room 125; Juneau AK, 99801",Senator.Chris.Birch@akleg.gov,,,,,,,,,,
ocd-person/a550e3e6-e3ac-4afd-b966-8b8e7a4438e9,Chris Tuck,Democratic,23,lower,Chris,Tuck,,,,,http://akleg.gov/images/legislators/tuc.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=tuc;http://www.akleg.gov/basis/Member/Detail/31?code=tuc,http://www.akleg.gov/basis/Member/Detail/30?code=tuc;http://w3.akleg.gov/,"State Capitol Room 204; Juneau AK, 99801",Representative.Chris.Tuck@akleg.gov,907-465-2095,,,,,,,,,
ocd-person/7474d172-6c90-47f9-aae1-9f66c9518be2,Chuck Kopp,Republican,24,lower,Chuck,Kopp,,,,,http://akleg.gov/images/legislators/kop.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=kop;http://www.akleg.gov/basis/Member/Detail/31?code=kop,http://www.akleg.gov/basis/Member/Detail/30?code=kop;http://w3.akleg.gov/,"State Capitol Room 13; Juneau AK, 99801",Representative.Chuck.Kopp@akleg.gov,907-465-4993,,,,,,,,,
ocd-person/df5e57e6-9664-4a5b-ad78-b8537765a3ff,Click Bishop,Republican,C,upper,Click,Bishop,,,,,http://akleg.gov/images/legislators/bis.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=bis;http://www.akleg.gov/basis/Member/Detail/31?code=bis,http://www.akleg.gov/basis/Member/Detail/30?code=bis;http://w3.akleg.gov/,"State Capitol Room 121; Juneau AK, 99801",Senator.Click.Bishop@akleg.gov,907-465-2327,,,,,,,,,
ocd-person/28298cbc-d633-4ef3-8fdc-71be7eb6ee00,Colleen Sullivan-Leonard,Republican,7,lower,Colleen,Sullivan-Leonard,,,,,http://akleg.gov/images/legislators/sul.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=sul;http://www.akleg.gov/basis/Member/Detail/31?code=sul,http://www.akleg.gov/basis/Member/Detail/30?code=sul;http://w3.akleg.gov/,"State Capitol Room 420; Juneau AK, 99801",Representative.Colleen.Sullivan-Leonard@akleg.gov,907-465-4833,,,,,,,,,
ocd-person/00fe56b6-c6b4-4b63-a9a1-9d1eadda0ff5,Dan Ortiz,Independent,36,lower,Dan,Ortiz,,,,,http://akleg.gov/images/legislators/ort.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=ort;http://www.akleg.gov/basis/Member/Detail/31?code=ort,http://www.akleg.gov/basis/Member/Detail/30?code=ort;http://w3.akleg.gov/,"State Capitol Room 513; Juneau AK, 99801",Representative.Dan.Ortiz@akleg.gov,907-465-3824,,,,,,,,,
ocd-person/aef8455c-a2bc-4996-80c2-471d359f98bd,David Talerico,Republican,6,lower,David,Talerico,,,,,http://akleg.gov/images/legislators/tal.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=tal;http://www.akleg.gov/basis/Member/Detail/31?code=tal,http://www.akleg.gov/basis/Member/Detail/30?code=tal;http://w3.akleg.gov/,"State Capitol Room 4527; Juneau AK, 99801",Representative.David.Talerico@akleg.gov,,,,,,,,,,
ocd-person/cf5cefd3-8283-411d-806d-b5076ade039d,David Eastman,Republican,10,lower,David,Eastman,,,,,http://akleg.gov/images/legislators/eas.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=eas;http://www.akleg.gov/basis/Member/Detail/31?code=eas,http://www.akleg.gov/basis/Member/Detail/30?code=eas;http://w3.akleg.gov/,"State Capitol Room 114; Juneau AK, 99801",Representative.David.Eastman@akleg.gov,907-465-2186,,,,,,,,,
ocd-person/d19f85d6-4018-49c7-9f3c-a477dd8096e6,David Wilson,Republican,D,upper,David,Wilson,,,,,http://akleg.gov/images/legislators/wln.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=wln;http://www.akleg.gov/basis/Member/Detail/31?code=wln,http://www.akleg.gov/basis/Member/Detail/30?code=wln;http://w3.akleg.gov/,"State Capitol Room 115; Juneau AK, 99801",Senator.David.Wilson@akleg.gov,907-465-3878,,,,,,,,,
ocd-person/d7d4a21d-942e-46f7-92b6-237f1741b025,DeLena Johnson,Republican,11,lower,DeLena,Johnson,,,,,http://akleg.gov/images/legislators/jhs.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=jhs;http://www.akleg.gov/basis/Member/Detail/31?code=jhs,http://www.akleg.gov/basis/Member/Detail/30?code=jhs;http://w3.akleg.gov/,"State Capitol Room 405; Juneau AK, 99801",Representative.DeLena.Johnson@akleg.gov,907-465-4958,,,,,,,,,
ocd-person/cd3ca264-553d-4e21-a993-e3f5097b1b77,Donald Olson,Democratic,T,upper,Donald,Olson,,,,,http://akleg.gov/images/legislators/ols.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=ols;http://www.akleg.gov/basis/Member/Detail/31?code=ols,http://www.akleg.gov/basis/Member/Detail/30?code=ols;http://w3.akleg.gov/,"State Capitol Room 514; Juneau AK, 99801",Senator.Donald.Olson@akleg.gov,907-465-3707,,,,,,,,,
ocd-person/2ba2d14f-a08a-4f05-a9d4-5ca63d09561e,Elvi Gray-Jackson,Democratic,I,upper,Elvi,Gray-Jackson,,,,,http://akleg.gov/images/legislators/gra.jpg,http://www.akleg.gov/basis/Member/Detail/31?code=gra,http://w3.akleg.gov/,"State Capitol Room 417; Juneau AK, 99801",Senator.Elvi.Gray-Jackson@akleg.gov,907-465-4930,,,,,,,,,
ocd-person/adfa0711-a0f1-42e6-81f5-4e93a2b5a677,Gabrielle LeDoux,Republican,15,lower,Gabrielle,LeDoux,,,,,http://akleg.gov/images/legislators/leu.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=leu;http://www.akleg.gov/basis/Member/Detail/31?code=leu,http://www.akleg.gov/basis/Member/Detail/30?code=leu;http://w3.akleg.gov/,"State Capitol Room 216; Juneau AK, 99801",Representative.Gabrielle.LeDoux@akleg.gov,907-465-4998,,,,,,,,,
ocd-person/2200fda4-35e5-4ef2-824d-b9b9ebfe94ef,Gary Knopp,Republican,30,lower,Gary,Knopp,,,,,http://akleg.gov/images/legislators/kno.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=kno;http://www.akleg.gov/basis/Member/Detail/31?code=kno,http://www.akleg.gov/basis/Member/Detail/30?code=kno;http://w3.akleg.gov/,"State Capitol Room 424; Juneau AK, 99801",Representative.Gary.Knopp@akleg.gov,907-465-2693,,,,,,,,,
ocd-person/f5c83068-a809-4f57-8b77-1e77c87ee93b,Gary Stevens,Republican,P,upper,Gary,Stevens,,,,,http://akleg.gov/images/legislators/stg.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=stg;http://www.akleg.gov/basis/Member/Detail/31?code=stg,http://www.akleg.gov/basis/Member/Detail/30?code=stg;http://w3.akleg.gov/,"State Capitol Room 423; Juneau AK, 99801",Senator.Gary.Stevens@akleg.gov,907-465-4925,,,,,,,,,
ocd-person/627922d3-e631-4c32-841f-148f061b0c75,George Rauscher,Republican,9,lower,George,Rauscher,,,,,http://akleg.gov/images/legislators/rau.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=rau;http://www.akleg.gov/basis/Member/Detail/31?code=rau,http://www.akleg.gov/basis/Member/Detail/30?code=rau;http://w3.akleg.gov/,"State Capitol Room 426; Juneau AK, 99801",Representative.George.Rauscher@akleg.gov,907-465-4859,,,,,,,,,
ocd-person/279c0054-2d68-49a7-a3d6-df405f561d17,Geran Tarr,Democratic,19,lower,Geran,Tarr,,,,,http://akleg.gov/images/legislators/tar.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=tar;http://www.akleg.gov/basis/Member/Detail/31?code=tar,http://www.akleg.gov/basis/Member/Detail/30?code=tar;http://w3.akleg.gov/,"State Capitol Room 126; Juneau AK, 99801",Representative.Geran.Tarr@akleg.gov,907-465-3424,,,,,,,,,
ocd-person/09458fa9-2c0d-40f6-bb90-378008bfe24a,Grier Hopkins,Democratic,4,lower,Grier,Hopkins,,,,,http://akleg.gov/images/legislators/hpk.jpg,http://www.akleg.gov/basis/Member/Detail/31?code=hpk,http://w3.akleg.gov/,"State Capitol Room 501; Juneau AK, 99801",Representative.Grier.Hopkins@akleg.gov,907-465-4457,,,,,,,,,
