id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/16223082-191d-4b22-ab0b-c199ef707487,Aaron Miller,Republican,59,lower,Aaron,Miller,,,,,http://gophouse.org/wp-content/uploads/2018/09/HS_Miller_0918_NSC_2395-214x300.jpg,http://gophouse.org/representatives/southwest/miller/,http://gophouse.org/representatives/southwest/miller/,"N0993 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",AaronMiller@house.mi.gov,517-373-0832,,,,,,,,,
ocd-person/ca4914ea-7095-44f7-bf6d-1002c9e75ffc,Abdullah Hammoud,Democratic,15,lower,Abdullah,Hammoud,,,,,https://housedems.com/sites/default/files/Images/Representative_Images/D015_Abdullah_Hammoud/Hammoud_Headshot.jpg,https://housedems.com/hammoud,https://housedems.com/hammoud,"N0694 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",AbdullahHammoud@house.mi.gov,517-373-0847,,,,,,,,,
ocd-person/5417a310-a276-4035-8dc8-f536c61db49d,Adam Hollier,Democratic,2,upper,,,,,,,,http://senatedems.com/hollier,http://senatedems.com/hollier,3300 Binsfeld Bldg,senahollier@senate.michigan.gov,517-373-7748,517-373-1387,,,,,,,,
ocd-person/c1fbcc41-6780-4901-bb56-6fb58a9867d4,Alex Garza,Democratic,12,lower,,,,,,,https://housedems.com/sites/default/files/Images/Representative_Images/D012_Alex_Garza/012_Garza.jpg,https://housedems.com/garza,https://housedems.com/garza,"N0691 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",AlexGarza@house.mi.gov,517-373-0852,,,,,,,,,
ocd-person/6f7bc14d-f54a-48b6-bde5-b4ffa3421e1f,Andrea Schroeder,Republican,43,lower,,,,,,,http://gophouse.org/wp-content/uploads/2019/01/HS_SCHRODER_0119.jpg,http://gophouse.org/representatives/southeast/schroeder/,http://gophouse.org/representatives/southeast/schroeder/,"N0892 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",AndreaSchroeder@house.mi.gov,517-373-0615,,,,,,,,,
ocd-person/0db39d07-a543-4e52-82b0-457f406855e8,Angela Witwer,Democratic,71,lower,,,,,,,https://housedems.com/sites/default/files/Images/Representative_Images/D071_Angela_Witwer/071_Witwer.jpg,https://housedems.com/witwer,https://housedems.com/witwer,"N1090 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",AngelaWitwer@house.mi.gov,517-373-0853,,,,,,,,,
ocd-person/3a9d71dc-da5b-4bd3-8062-c8387292dc52,Ann Bollin,Republican,42,lower,,,,,,,http://gophouse.org/wp-content/uploads/2018/12/Ann-Bollin.jpg,http://gophouse.org/representatives/southeast/bollin/,http://gophouse.org/representatives/southeast/bollin/,"N0891 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",AnnBollin@house.mi.gov,517-373-1784,,,,,,,,,
ocd-person/cb9a4eef-ca62-40b9-b5e9-3c1f2af813db,Annette Glenn,Republican,98,lower,,,,,,,http://gophouse.org/wp-content/uploads/2018/12/Annette-Glenn.jpg,http://gophouse.org/representatives/central/annette-glenn/,http://gophouse.org/representatives/central/annette-glenn/,"S1287 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",AnnetteGlenn@house.mi.gov,517-373-1791,,,,,,,,,
ocd-person/6d11944d-f19f-4697-811c-0c9dca750c57,Aric Nesbitt,Republican,26,upper,,,,,,,,https://www.senatoraricnesbitt.com/,https://www.senatoraricnesbitt.com/,6100 Binsfeld Bldg,SenANesbitt@senate.michigan.gov,517-373-0793,517-373-5607,,,,,,,,
ocd-person/3da8d4bd-ecb6-49ae-bdc2-0717679e2775,Beau LaFave,Republican,108,lower,Beau,LaFave,,,,,http://gophouse.org/wp-content/uploads/2017/01/HS_LaFave_0117-214x300.jpg,http://gophouse.org/representatives/up/lafave/,http://gophouse.org/representatives/up/lafave/,"S1487 Anderson House Office Building;124 North Capitol Avenue;Lansing, MI 48933",BeauLaFave@house.mi.gov,517-373-0156,,,,,,,,,
