id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/fd14f876-4b18-4101-8ad4-d45d8586683a,Adam C. Gray,Democratic,21,lower,Adam C.,Gray,Male,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/gray.png,https://a21.asmdc.org,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0021",,916-319-2021,,"1010 Tenth Street, Suite 5800;Modesto, CA 95354",,209-521-2111,,,,,
ocd-person/19c64d24-6578-4a4c-bf71-3f3ea51ce505,Adrin Nazarian,Democratic,46,lower,Adrin,Nazarian,Male,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD46-Nazarian.jpg,https://a46.asmdc.org/,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0046",,916-319-2046,,"6150 Van Nuys Blvd, Suite 300;Van Nuys, CA 91401",,818-376-4246,,,,,
ocd-person/78610d0e-c790-4fc9-ab8e-0887adbbe063,Al Muratsuchi,Democratic,66,lower,Al,Muratsuchi,Male,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad66.jpg,https://a66.asmdc.org/,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0066",,916-319-2066,,"3424 W. Carson Street, Suite 450;Torrance, CA 90503",,310-375-0691,,,,,
ocd-person/50ff89eb-0e1c-4ca4-90e5-e21c51cb7d94,Andreas Borgeas,Republican,8,upper,Andreas,Borgeas,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/official_portrait_cropped_borgeas_4623_llsed1_2.jpg,https://senate.ca.gov/sd08,http://senate.ca.gov/senators,,,,,"460 Sutter Hill Road, Suite C, Sutter Creek, CA 95685",,209-267-5033,,,,,
ocd-person/fe462917-df55-4a43-9fd8-970541544ca6,Anna M. Caballero,Democratic,12,upper,Anna M.,Caballero,Female,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/2016-ad30_annacaballero.jpg,https://senate.ca.gov/sd12,http://senate.ca.gov/senators,,,,,"132 W. Gabilan Street, Suite 101, Salinas, CA 93901",,831-769-8040,,,,,
ocd-person/84f0dbbd-99dd-4ef2-9772-eb06047d847b,Anthony J. Portantino,Democratic,25,upper,Anthony J.,Portantino,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/portantino_en_3444_lls_ed_v.jpg,http://sd25.senate.ca.gov,http://senate.ca.gov/senators,,,,,"201 E. Bonita Avenue, San Dimas, CA 91773",,909-599-7351,,,,,
ocd-person/27c957dd-86a1-4bbe-9007-f4ebf931a795,Anthony Rendon,Democratic,63,lower,Anthony,Rendon,Male,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad63-rendon_0.jpg,https://speaker.asmdc.org/,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0063",,916-319-2063,,"4909 Lakewood Blvd, Suite 400;Lakewood, CA 90712",,562-529-3250,,,,,
ocd-person/820619fd-d053-4915-b099-1d134a880228,Ash Kalra,Democratic,27,lower,Ash,Kalra,Male,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad27_karla_roster150_20161205.jpg,https://a27.asmdc.org/,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0027",,916-319-2027,,"100 Paseo De San Antonio, Suite 319;San Jose, CA 95113",,408-277-1220,,,,,
ocd-person/0fec719d-4fca-4119-88c2-02c3b4faed85,Autumn R. Burke,Democratic,62,lower,Autumn R.,Burke,Female,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD62_Burke_Portrait150_20141201_v2.jpg,https://a62.asmdc.org/,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0062",,916-319-2062,,"One Manchester Boulevard, Suite 601;Inglewood, CA 90301",,310-412-6400,,,,,
ocd-person/041e3c31-f9c0-4add-ae2e-f5c0a281fc27,Ben Hueso,Democratic,40,upper,Ben,Hueso,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/hueso-ben.jpg,http://sd40.senate.ca.gov/,http://senate.ca.gov/senators,,,,,"1224 State Street, Suite D, El Centro, CA 92243",,760-335-3442,,,,,
ocd-person/e725b91e-1f7f-4510-a9cc-0b9a39d283c3,Benjamin Allen,Democratic,26,upper,Benjamin,Allen,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/ben-allen.jpg,http://sd26.senate.ca.gov/,http://senate.ca.gov/senators,,,,,"2512 Artesia Blvd., Suite 320, Redondo Beach, CA 90278",,310-318-6994,,,,,
ocd-person/7ecd4221-a627-42dc-9029-bbc543ef3735,Bill Dodd,Democratic,3,upper,Bill,Dodd,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/dodd.jpg,http://sd03.senate.ca.gov,http://senate.ca.gov/senators,,,,,"50 D Street, Suite 300, Santa Rosa, CA 95404",,707-576-2093,,,,,
ocd-person/458ff4e5-5bb5-4b94-a161-4862bf08127b,Bill Monning,Democratic,17,upper,Bill,Monning,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/monning-bill.jpg,http://sd17.senate.ca.gov,http://senate.ca.gov/senators,,,,,"701 Ocean Street, Suite 318A, Santa Cruz, CA 95060",,831-425-0401,,,,,
ocd-person/9ef08f26-f81d-433e-b055-841432a7d52c,Bill Quirk,Democratic,20,lower,Bill,Quirk,Male,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad20.jpg,https://a20.asmdc.org,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0020",,916-319-2020,,"22320 Foothill Blvd, Suite 540;Hayward, CA 94541",,510-583-8818,,,,,
ocd-person/82cbb6e9-8486-44ec-8450-86d1e700f828,Blanca E. Rubio,Democratic,48,lower,Blanca E.,Rubio,Female,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/rubio.jpg,https://a48.asmdc.org,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0048",,916-319-2048,,"100 N. Barranca Street, Suite 895;West Covina, CA 91791",,626-960-4457,,,,,
ocd-person/a76028df-5730-47b0-b617-1565621def41,Bob Archuleta,Democratic,32,upper,Bob,Archuleta,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/archuleta_bob.jpg,https://senate.ca.gov/sd32,http://senate.ca.gov/senators,,,,,"12501 Imperial Highway, Suite 110, Norwalk, CA 90650",,562-406-1001,,,,,
ocd-person/c4167cdb-2f4b-4fce-a106-e4d033b83651,Bob Wieckowski,Democratic,10,upper,Bob,Wieckowski,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/wieckowski_9781_lls.jpg,http://sd10.senate.ca.gov/,http://senate.ca.gov/senators,,,,,"39510 Paseo Padre Parkway, Suite 280, Fremont, CA 94538",,510-794-3900,,,,,
ocd-person/91915f3b-c93f-4f55-a164-58b8c1587d6d,Brian Dahle,Republican,1,upper,Brian,Dahle,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/senator-dahle.jpg,https://dahle.cssrc.us/,http://senate.ca.gov/senators,"P.O. Box 942849;Sacramento, CA 94249-0001",,916-319-2001,,"11310 McCourtney Road, Unit E-3;Grass Valley, CA 95949",,530-271-0201,,,,,
ocd-person/4c0ad3f7-b949-4206-a550-99633351236c,Brian Maienschein,Democratic,77,lower,Brian,Maienschein,Male,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad77-brian_maienschein_120x150.jpg,https://a77.asmdc.org/,http://assembly.ca.gov/assemblymembers,"P.O. Box 942849;Sacramento, CA 94249-0077",,916-319-2077,,"12396 World Trade Drive, Suite 118;San Diego, CA 92128",,858-675-0077,,,,,
ocd-person/ea5c3b3d-bbad-41f6-a912-69f60f1553a4,Brian W. Jones,Republican,38,upper,Brian W.,Jones,Male,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/brian_jones_headshot_blue.jpg,https://senate.ca.gov/sd38,http://senate.ca.gov/senators,,,,,"720 N. Broadway, Suite 110, Escondido, CA 92025",,760-796-4655,,,,,
