id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/ed150829-99d1-497e-bc0b-91bf4e06c5e7,Aaron Bean,Republican,4,upper,Aaron,Bean,,,,,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s04_5094.jpg,http://www.flsenate.gov/Senators/s4,http://www.flsenate.gov/Senators/;http://www.flsenate.gov/Senators/s4,"405 Senate Building;404 South Monroe Street;Tallahassee, FL 32399-1100",,850-487-5004,850-410-4805,By Appointment Only,,904-757-5039,1-888-263-1578,,,,
ocd-person/77b91386-19d2-43fc-8ae0-3898a2aab9e9,Adam Roger Hattersley,Democratic,59,lower,,,,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4737.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4737&LegislativeTermId=88,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4737&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"1402 The Capitol;402 South Monroe Street;Tallahassee, FL 32399-1300",,850-717-5059,,,,,,,,,
ocd-person/010b2ddc-6cad-4736-983a-a40c10f49218,Al Jacquet,Democratic,88,lower,Al,Jacquet,,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4628.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4628&LegislativeTermId=88,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4628&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"405 House Office Building;402 South Monroe Street;Tallahassee, FL 32399-1300",,850-717-5088,,"Post Office Box 2436;West Palm Beach, FL 33402-2436",,561-650-6846,,,,,
ocd-person/596401ac-e1f1-4ccf-a4e4-93e1fe05b5d6,Amber Mariano,Republican,36,lower,Amber,Mariano,,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4684.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4684&LegislativeTermId=88,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4684&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"303 House Office Building;402 South Monroe Street;Tallahassee, FL 32399-1300",,850-717-5036,,"Suite 23;10730 US Hwy 19 North;Port Richey, FL 34668-2863",,727-861-4806,,,,,
ocd-person/8127a8b7-c1a4-4594-b0e6-ed06868c5e4d,Amy Mercado,Democratic,48,lower,Amy,Mercado,,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4638.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4638&LegislativeTermId=88,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4638&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"406 House Office Building;402 South Monroe Street;Tallahassee, FL 32399-1300",,850-717-5048,,"Suite 101;6000 South Rio Grande Avenue;Orlando, FL 32809-4650",,407-251-2388,,,,,
ocd-person/66fc895c-89ee-45db-a15f-f289dfeb383c,Ana Maria Rodriguez,Republican,105,lower,,,,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4719.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4719&LegislativeTermId=88,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4719&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"1401 The Capitol;402 South Monroe Street;Tallahassee, FL 32399-1300",,850-717-5105,,"City Hall - City of Doral;8401 Northwest 53rd Terrace;Doral, FL 33166-4517",,786-336-1127,,,,,
ocd-person/05f10f33-f88d-4427-9084-077760ada14a,Anika Tene Omphroy,Democratic,95,lower,,,,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4749.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4749&LegislativeTermId=88,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4749&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"1302 The Capitol;402 South Monroe Street;Tallahassee, FL 32399-1300",,850-717-5095,,,,,,,,,
ocd-person/4a692ad6-7804-4693-a22f-5ea43a1283cb,Anitere Flores,Republican,39,upper,Anitere,Flores,,,,,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s39_4783.jpg,http://www.flsenate.gov/Senators/s39,http://www.flsenate.gov/Senators/;http://www.flsenate.gov/Senators/s39,"406 Senate Building;404 South Monroe Street;Tallahassee, FL 32399-1100",,850-487-5039,,"11401 SW 40th Street;Suite 465;Miami, FL 33165",,305-222-4117,,,,,
ocd-person/1f8e10ad-0047-4854-b696-38e15fda7afa,Anna  V. Eskamani,Democratic,47,lower,,,,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4746.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"1102 The Capitol;402 South Monroe Street;Tallahassee, FL 32399-1300",,850-717-5047,,"1507 East Concord Street;Orlando, FL 32803-5411",,407-228-1451,,,,,
ocd-person/ea190b03-d1ca-4d75-89c7-dca745386db7,Annette Taddeo,Democratic,40,upper,Annette,Taddeo,,,,,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s40_5331.jpg,http://www.flsenate.gov/Senators/s40,http://www.flsenate.gov/Senators/;http://www.flsenate.gov/Senators/s40,"210 Senate Building;404 South Monroe Street;Tallahassee, FL 32399-1100",,850-487-5040,,"10689 N. Kendall Drive, Suite 212;Miami, FL 33176",,305-596-3003,,,,,
