id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/860fa95b-c737-43bd-948d-1dd6dc1b734e,Anita Bonds,Democratic,At-Large,legislature,Anita,Bonds,,"Anita Bonds has spent her entire adult life as a grassroots organizer, activist, and trusted political ally for campaigns and causes across the spectrum of the civil rights, social justice, worker’s, LGBT, and women’s equality movements.
Since December 2012, Anita Bonds has served as an At-Large Member of the Council of the District of Columbia and she is the current Chairperson of the Committee on Housing and Community Development. The Committee has oversight over the DC Department of Housing and Community Development, the District of Columbia Housing Authority, Housing Finance Agency, Housing Production Trust Fund, and the Rental Housing Commission.
Along with Advisory Neighborhood Commissions, she also has oversight over the diverse constituent commissions, including the Advisory Commission on Caribbean Community Affairs, Advisory Committee to the Office of LGBTQ Affairs, Commission for Women, Commission on African Affairs, Commission on African American Affairs, Commission on Aging, Commission on Asian and Pacific Islander Affairs, Commission on Latino Community Development, Interfaith Council, Office of Asian and Pacific Islander Affairs, Office of Gay, Lesbian, Bisexual, and Transgender Affairs, Office of Latino Affairs, Office of Veteran Affairs, Office on African Affairs, and Office on Aging.
Anita attended college at the University of California at Berkeley where she was active in the Free Speech movement. Upon returning home to the District of Columbia, she became a politically active leader in the District’s struggle for civil rights and equal justice with the Young Democrats of America, as Chair of the D.C. Women’s Political Caucus, Vice-Chair of the National Women’s Political Caucus, and as a Statehood Compact Commissioner.
Anita served several terms as President of the Perry School Community Services Center, as an officer of the D.C. Federation of Civic Associations, and a four-term Chair of Advisory Neighborhood Commission 5C. While employed at Georgetown University, she was instrumental in the creation of the Center for Social Justice, Research, Teaching and Service through her community work. Additionally, she served as Director of Development for Africare, the largest American not for profit organization assisting twenty-eight countries on the continent of Africa. Most recently, she held the position of Director of Corporate Relations for Fort Myer Construction, Inc., one of the largest commercial enterprises and union-based employers located in the District.
Anita served as a cabinet member in the administrations of Mayors Anthony Williams, Sharon Pratt and Marion Barry and retains in-depth legislative experience from working at the D.C. Council.
Anita has worked on numerous national campaigns to elect Democrats at the national, state and municipal levels. Including; Sen. Carol Mosley Braun, Sen. Edward Kennedy, and Sen. Paul Sarbanes, and served as National Field Director for the Jesse Jackson for President Campaign.
Anita is the current Chairman of the DC Democratic Party and serves on the Executive Board of the Democratic National Committee. Anita is a former Chairperson of the Ward 5 Democrats.
Anita is a resident of Ward 5, an active member of Foundry United Methodist Church, a mother to three, and a grandmother.",,,http://dccouncil.us/wp-content/uploads/2017/03/Anita-125x125-c-default.jpg,http://dccouncil.us/council/anita-bonds/,http://dccouncil.us/council/anita-bonds/,,abonds@dccouncil.us,202-724-8064,202-724-8086,,,,,,,,
ocd-person/705a739d-e779-42dd-8953-d6ede3f7f1db,Brandon Todd,Democratic,Ward 4,legislature,Brandon,Todd,,"Councilmember Brandon T. Todd is a native Washingtonian and attended Eastern Senior High School on Capitol Hill. He received his Bachelor of Science in Communications with a concentration in Public Relations from Bowie State University and a Master of Business Administration with a concentration on Organizational Development from Trinity Washington University.
Councilmember Todd is committed to moving forward an agenda that focuses on expanding services for seniors, improving education in D.C. schools, supporting economic development and small business growth, and improving the quality and safety of District neighborhoods. He serves as Chairman of the Committee on Government Operations. He sits on the Committees on Health, Human Services, and Transportation & the Environment. Councilmember Todd is also Vice-Chair of the Metropolitan Washington Air Quality Committee, and is a member of the National Capital Region Transportation Planning Board.
On April 28th, 2015, Brandon T. Todd was elected as the fifth Councilmember representing Ward 4 for the District of Columbia, and was subsequently sworn into office on May 14th, 2015, in the District Council Chamber. On November 8th, 2016, he was re-elected to a full four year term.
He attends St. Mary’s Episcopal Church and resides in the Petworth neighborhood of Ward 4.",,,http://dccouncil.us/wp-content/uploads/2017/06/CM-Todd-Formal-Headshot-125x125-c-default.jpg,http://dccouncil.us/council/councilmember-brandon-t-todd/,http://dccouncil.us/council/councilmember-brandon-t-todd/,,btodd@dccouncil.us,202-724-8052,202-741-0908,,,,,,,,
ocd-person/4e806a33-bba3-4484-95f8-d723769b99f1,Brianne K. Nadeau,Democratic,Ward 1,legislature,Brianne K.,Nadeau,,"Brianne Nadeau was elected to the Council of the District of Columbia on November 4, 2014. In her many years of service to the community, she has brought perspectives from a career that has spanned the non-profit, public and private sectors. As Councilmember, Brianne is committed to strengthening our schools, supporting small businesses, increasing affordable housing and public safety, and putting measures in place that allow for government transparency, effectiveness and the highest ethical standards.
Brianne is a community activist at heart, and engages Ward 1 residents and businesses through civic organizations, volunteer opportunities in neighborhoods and schools, and through regular dialogue as part of her Brianne on Your Block and Community Conversations series.
Brianne began her work in Ward 1 as a member of the Orange Hat Patrol, each week walking the beat with MPD officers and neighbors. From there she became involved with the Meridian Hill Neighborhood Association helping facilitate the neighborhood cleanup and bringing the voices of her neighbors into the discussion about local issues.
In 2006, she was elected to the Advisory Neighborhood Commission (ANC). During her tenure on ANC1B, Brianne built a reputation for supporting small businesses, fostering cooperation between residents and business owners, fighting for the abatement of abandoned properties, advocating for pedestrian safety, and ensuring community concerns were taken seriously by developers.
After completing two terms on the ANC, Brianne brought together residents and business owners to create the U Street Movie Series and then founded Sustainable U, a community-led initiative that sought to increase the availability of, and participation in sustainable living and working options in the 14th & U corridor.
Brianne began her career at Hillel: The Foundation for Jewish Campus Life, where she trained student leaders and activists. She went on to serve as the press secretary and scheduler for Congressman John P. Sarbanes, (D-Md.) on Capitol Hill. Prior to serving on the council, Brianne was Vice President at Rabinowitz Communications providing strategic counsel to faith-based, Democratic and environmental non-profit organizations, and served as a board member of Jews United for Justice.
Brianne earned an M.A. in Public Policy from American University where she concentrated her studies in the Women & Politics Institute. She earned a B.A. in Political Science from Boston College. While at Boston College, she worked to improve the local community with involvement in the Latinas y Niños Center, a treatment program for women recovering from addiction, and participated in service missions to the Appalachia region, El Salvador, and Ukraine. She also studied in the Philippines and Italy.
Brianne serves on the 
 as Vice Chairperson of the 
 and Vice Chairperson of the 
. She also represents the District on the 
 and serves on three committees of the 
, the 
, the 
 and the 
.
Brianne grew up in Michigan, the oldest of three daughters, in a family with a deep commitment to civic and political activism. Having gone to public school from K-12, Brianne has focused much of her attention on improving the District’s public schools. She was a Girl Scout for 13 years, earning the Scout’s highest honor, the Gold Award. Brianne is a triathlete and a member of the DC Triathlon Club. She regularly invites constituents to join her on her morning training runs. She is an active member of her prayer community, DC Minyan.",,,http://dccouncil.us/wp-content/uploads/2017/03/bkn-125x125-c-default.jpg,http://dccouncil.us/council/brianne-nadeau/,http://dccouncil.us/council/brianne-nadeau/,,bnadeau@dccouncil.us,202-724-8181,202-724-8109,,,,,,,,
ocd-person/ab8e39c8-583e-4e9d-b481-0f43c21318ba,Charles Allen,Democratic,Ward 6,legislature,Charles,Allen,,"Charles Allen is focused on building a Ward 6 with great schools at every level and a neighborhood you can always call home.
Charles Allen, his wife, Jordi Hutchinson, and their children, Cora Neal and Everett, live at 15th and D Streets, NE.
For over a decade, Charles has worked in Ward 6 neighborhoods, helping bring about school reforms, working with small businesses, and improving our community. His years of public service to Ward 6 mean he knows and understands our neighborhood issues like no one else.
What makes our neighborhoods so special is that people choose to make Ward 6 home, whether for five generations or just in the last five years – because our neighborhoods are an extension of our front steps. Ward 6 shares a vision of great schools we can walk to, thriving local businesses that know us by name, parks and playgrounds for our families, and safe streets for all. But we must ensure all our neighborhoods have these amenities, while protecting everyone’s ability to live, work, and raise a family in our community.
Charles began his career in the District as a graduate fellow with the federal Department of Health and Human Services, working on expanding community-based health options across the nation.  Charles quickly understood that to make true change he needed to return to his roots working at the local and community level, so he began his service to the District as policy director for the DC Primary Care Association, where he helped bring about legislative, budget, and policy changes that expanded health care options for almost every DC resident. Two of his signature efforts – bringing physicians, dentists, nurses and other healthcare providers to medically underserved communities and creating a District-owned captive insurance company to provide free and low-cost medical malpractice insurance to non-profit providers – remain a vital part of the city’s health care safety net a decade after he helped create them.
At the same time, Charles helped found DC for Democracy and served as Chair of the organization to bring a needed voice for progressive priorities and social justice issues facing the city.  These experiences led Charles to become an elected delegate for the District at the 2004 Democratic National Convention in Boston, elected President of the Ward 6 Democrats, and serve as Chief of Staff to then-Ward 6 Councilmember Tommy Wells.
Charles is Chair of the Council’s Committee on the Judiciary and Public Safety, and is a member of the Council’s Committees on Education, Transportation and the Environment, and Business and Economic Development.  He serves as Chair of the Metropolitan Washington Council of Governments’ Transportation Planning Board and was named an Early Learning Fellow by the National Conference of State Legislatures.  He also serves on the NCSL’s standing committees on Education, Natural Resources & Infrastructure, and Law, Criminal Justice, & Public Safety.
Charles graduated from Washington and Lee University and he holds a Master of Public Health from the University of Alabama at Birmingham.",,,http://dccouncil.us/wp-content/uploads/2017/06/C._Allen_small_1-125x125-c-default.jpg,http://dccouncil.us/council/councilmember-allen/,http://dccouncil.us/council/councilmember-allen/,,callen@dccouncil.us,202-724-8072,202-724-8054,,,,,,,,
ocd-person/68a4ad6c-47e2-4559-8cd6-d28cf598af6e,David Grosso,Independent,At-Large,legislature,David,Grosso,,"David Grosso is chairperson of the Committee on Education of the Council of the District of Columbia. David was elected to the D.C. Council as an at-large member in November 2012 to represent residents in all eight wards. During his time in office, David has focused on many issues with one main goal always at the forefront of his mind: making D.C. a better city. Central to that goal is education. A high quality public education system and an innovative public library system help residents gain fruitful employment, attract newcomers, and make the city appealing to businesses. Under David’s leadership, the Committee on Education’s work will be collaborative and forward thinking. From early childhood education to adult learning, David is committed to the well-being of students, ensuring that they are in the best position to succeed.
In addition to his focus on education, David is committed to addressing inequities within the criminal justice system, improving health outcomes throughout the city, promoting transparency and open government, strengthening the creative economy, and further engaging residents in the political process.
David Grosso is a native Washingtonian. He earned a philosophy degree from Earlham College and a law degree from Georgetown University. From 2001 to 2007, David worked in the Office of Councilmember Sharon Ambrose of Ward 6. David also served as chief counsel to Congresswoman Eleanor Holmes Norton in 2007 and 2008. David is a current member of the D.C. Bar and previously served on the board of directors of Planned Parenthood Metropolitan Washington. He is a member of the Sierra Club, NARAL, ProChoice America and the ACLU. David is married to Serra Sippel who is also a native Washingtonian and president of the Center for Health and Gender Equity. David and Serra live in the Brookland neighborhood of Ward 5 with their dogs Frida and Diego.
Prior to attending college, David volunteered helping Salvadoran refugees living in Honduras. He also spent a year as a full-time volunteer with the Brethren Volunteer Service building a transitional housing program for homeless women and children in San Antonio, Texas. David’s commitment to community service continues in D.C. where he has volunteered with Bread for the City, Miriam’s Kitchen, the Farm at Walker Jones, and many other local groups. David and Serra deliver meals for Food and Friends every year on December 25th.",,,http://dccouncil.us/wp-content/uploads/2017/03/david_grosso_color__small-copy-2-125x125-c-default.jpg,http://dccouncil.us/council/david-grosso/,http://dccouncil.us/council/david-grosso/,,dgrosso@dccouncil.us,202-724-8105,202-724-8071,,,,,,,,
ocd-person/438f747e-7345-47f9-ba1b-bb20c8844383,Elissa Silverman,Independent,At-Large,legislature,Elissa,Silverman,,"Elissa Silverman has worked throughout her career to make the District’s government accountable, responsive, and accessible. After nearly two decades as a reporter, budget analyst, and community activist, she is excited to put her experience to work as an at-large member of the D.C. Council.
Elissa began her professional life as a reporter at the Washington City Paper near the end of Marion Barry’s fourth term as mayor and the beginning of Anthony A. Williams’ first. For three years she authored the paper’s “Loose Lips” column on D.C. politics. She later worked for The Washington Post, covering local business, the 2006 mayoral race, and police, fire, and emergency medical services as a reporter on the night shift.
From 2009 to 2014, Elissa worked for the D.C. Fiscal Policy Institute, analyzing the city’s budget, leading advocacy campaigns, and heading a coalition that opened D.C. Council budget negotiations to the public. She also helped coordinate the campaigns that led to an increase in the D.C. minimum wage and an expansion of paid sick days to restaurant workers. In 2012, she helped lead the efforts of the D.C. Public Trust, the grassroots effort to ban direct corporate contributions and reform the city’s campaign finance system.
Elissa was honored in November 2012 with a Heschel Vision Award from the organization Jews United for Justice. Named after Rabbi Abraham Joshua Heschel, an influential theologian and leader in civil rights and social justice, this award recognizes individuals for their activism and moral intent. Honored along with Elissa was former Maryland Gov. Martin O’Malley.
Elissa grew up in Baltimore, Md., and is a proud graduate of the city’s public schools. She earned a bachelor’s degree in economics and history from Brown University, where her studies sparked a lifelong interest in urban policy and shaped her thinking on critical issues such as race, poverty, and economic justice.
Her work on these issues — and her frustration that a series of corruption scandals had consumed District government — compelled Elissa to run for the at-large council seat in the April 2013 special election She applied her reform efforts to her own campaign by not accepting corporate contributions and by championing key issues including paid sick days and a living wage. She finished a close second.
The following year Elissa decided once again to seek an at-large council seat, this time in the November 2014 general election as an independent candidate. Elissa won through the hard work of many volunteers and a broad coalition of support including police, firefighters, nurses, teachers, and labor unions; environmental advocacy and women’s rights organizations; and progressive organizations working for equity and social justice in D.C. Once again, her people-powered campaign accepted no corporate contributions and took no PAC money.
Elissa is a Ward 6 resident and owns a home in Capitol Hill near H Street NE. She is a longtime cyclist, a recreational tennis player, and a sometimes cook. She thanks her parents, Jack and Ruth, and her brother, Jonathan (a Ward 3 resident), for their love and support.",,,http://dccouncil.us/wp-content/uploads/2017/03/silverman2-125x125-c-default.jpg,http://dccouncil.us/council/elissa-silverman/,http://dccouncil.us/council/elissa-silverman/,,esilverman@dccouncil.us,202-724-7772,202-724-8087,,,,,,,,
ocd-person/b8df69c7-ee72-41a3-9398-7dd3341acb36,Jack Evans,Democratic,Ward 2,legislature,Jack,Evans,,"Jack Evans is the Councilmember for Ward 2, representing 11 distinct neighborhoods including: Chinatown, Logan Circle, Blagden Alley, Dupont Circle, Sheridan-Kalorama, Foggy Bottom/West End, Georgetown, Burleith, Hillandale, Penn Quarter, and Downtown Washington (including the White House and Mall).
Jack was first elected to the Council of the District of Columbia in a 1991 special election and has been re-elected seven times since then. He is the longest serving Councilmember in the history of the District of Columbia.
At the Council, Jack serves as Chair of the Council’s Committee on Finance and Revenue, which oversees the District’s finances and tax policy. He also serves on three standing Council committees – Transportation & the Environment, Business & Economic Development, and Government Operations. Additionally, he currently represents the District on the Washington Metropolitan Area Transit Authority (WMATA) Board of Directors and has served as Chairman of the WMATA Board since January 2016.
Jack served previously served as the Council’s representative to the WMATA Board of Directors from 1993-1999 (Board Chair, 1994 and 1997) and the Metropolitan Washington Council of Governments (Board Chair, 1995). He served as Chair Pro Tempore (Vice Chair) of the DC Council from 2001-2013.
Aside from being Councilmember, Jack’s work in DC politics includes:
Jack is a native of Pennsylvania. He received an economics degree with honors (cum laude) from the Wharton School of the University of Pennsylvania in 1975 and a law degree from the University of Pittsburgh School of Law in 1978. He began practicing law at the Securities and Exchange Commission in the Division of Enforcement.
Jack’s wife Noel passed away in 2003. He currently lives in Georgetown and is the father of college-aged triplets – Katherine, Christine, and John.",,,http://dccouncil.us/wp-content/uploads/2017/03/evans-125x125-c-default.jpg,http://dccouncil.us/council/jack-evans/,http://dccouncil.us/council/jack-evans/,,jevans@dccouncil.us,202-724-8058,202-724-8023,,,,,,,,
ocd-person/cc7796a1-6644-4bc1-a536-b9307e84b22f,Kenyan McDuffie,Democratic,Ward 5,legislature,Kenyan,McDuffie,,"Kenyan R. McDuffie, Councilmember for Ward 5, was first elected to the Council of the District of Columbia in a 2012 special election. In November 2014, the voters of Ward 5 honored him by overwhelmingly re-electing him to his first full four-year term.
In his five years on the Council, Kenyan has established himself as a skilled legislator and coalition builder, including having been elected by his colleagues to serve as Chairman Pro Tempore since 2013. As a testament to his diligent work and preparation, more often than not the legislation Kenyan champions passes the Council unanimously.
As of January 2017, Councilmember Kenyan McDuffie serves as the Chairperson of the Committee on Business and Economic Development, which has oversight over 20 agencies and commissions, including the Deputy Mayor for Planning and Economic Development, Department of Small and Local Business, Alcoholic Beverage Regulation Administration, Public Service Commission and Office of the People’s Counsel. As Chair of the Committee on Business and Economic Development Kenyan will work to ensure that the District economy continues to grow and that small and local businesses have a fair chance to take part in the District’s economic growth.
Previously, Kenyan served as Chair of the Committee on the Judiciary. As Chair Kenyan oversaw sweeping updates to the District’s criminal justice law. Kenyan successfully passed comprehensive juvenile justice reform that ended the use of solitary confinement, life sentences, and indiscriminate shackling of juveniles in court. Kenyan also oversaw the creation of the police body-worn camera program, including ensuring that there was a fair process for the video footage to be made public. Kenyan championed “Ban the Box” legislation that bans the use of criminal background checks in housing as well as passing legislation to end the unfair use of credit history in hiring. Kenyan also passed the innovative Neighborhood Engagement Achieves Results Act (NEAR Act) which reforms the District’s criminal justice system by incorporating behavioral and mental health professionals to perform tasks that previously fell to law enforcement officers.
Kenyan began his career in public service working for a member of the U.S. House of Representatives shortly after graduating summa cum laude from Howard University. He went on to receive his Juris Doctorate from the University of Maryland School of Law, where he served as an editor of the University of Maryland Law Journal of Race, Religion, Gender and Class.
Prior to joining the Council, Kenyan worked extensively in the legal and public safety fields. He served as a law clerk for an Associate Judge on the 7th Judicial Circuit of Maryland and worked as an Assistant State’s Attorney in Prince George’s County, where he prosecuted misdemeanor and felony cases in District Court and on appeal in Circuit Court. Kenyan served as a trial attorney for the Civil Rights Division of the U.S. Department of Justice (“DOJ”), where he conducted investigations and managed complex cases throughout the United States regarding enforcement of key federal civil rights statutes, including defending the rights of the mentally ill. During his tenure at DOJ, he was also an integral team member on cases to reform the policies and procedures of police departments. More recently, he served as a policy advisor to the District of Columbia’s Deputy Mayor for Public Safety and Justice.
Nationally, Kenyan has been featured on NewsOne Now with Roland Martin, MSNBC and National Public Radio. Kenyan and his wife, Princess, live in his childhood home in Ward 5 with their two young daughters, Kesi and Jozi.",,,http://dccouncil.us/wp-content/uploads/2017/03/Councilmember_Kenyan_R._McDuffie_Official_Photograph_small-copy-1-125x125-c-default.jpg,http://dccouncil.us/council/kenyan-mcduffie/,http://dccouncil.us/council/kenyan-mcduffie/,,kmcduffie@dccouncil.us,202-724-8028,202-724-8076,,,,,,,,
ocd-person/d47c1f12-7a5a-417a-b458-7f7a086e7d4c,Mary Cheh,Democratic,Ward 3,legislature,Mary,Cheh,,"Councilmember Mary M. Cheh is committed to good government, law reform, and serving her constituents in Ward 3 and neighbors throughout the District. Mary is known as a common-sense investigator with a firm belief in the power of oversight and accountability. Prior to joining the Council, at the request of then-Councilmember Kathy Patterson, Mary served as pro bono special counsel to the Council of the District of Columbia’s Judiciary Committee during its 2003 investigation into police handling of protests and demonstrations. The report drafted as a result of her work led to model legislation that protects citizen’s rights and provides police officers with clear guidelines. She has also worked on international law reform projects in countries such as Tajikistan, Bosnia, and Kosovo.
Mary has served as a Special Assistant U.S. Attorney in Washington, D.C.; worked pro bono for the Centre for Applied Legal Studies in South Africa; served as a consultant to the National Institute of Justice and the President’s Commission on Organized Crime; chaired the subcommittee on criminal justice for the D.C. Circuit Court’s Task Force on Gender; and has served as a member of the Rules Committee of the Court of Appeals for the Armed Forces and on the Board of Directors of the National Institute of Military Justice. A former member of the ACLU Board and current Vice-Chair of the ACLU Screening Committee, Mary Cheh is an avid defender of civil liberties. She was also a Founder of the Animal Welfare Project, which worked with community leaders, activists, and government officials to craft model animal welfare legislation. Mary also founded Project Re-Entry, a pro bono law reform project that aims to reduce recidivism and assist ex-offenders in their return to productive lives.
As a tenured law professor at George Washington University, Mary serves as the Elyce Zenoff Research Professor of Law while teaching and writing primarily in the areas of constitutional law and criminal procedure. She chairs the GW Law Public Interest Committee, which assists students in providing legal services to the underserved, and she works with students on community and environmental pro bono projects. Ms. Cheh joined the GW Law School faculty in 1979 after being in private practice with Fried Frank Harris Shriver & Kampelman in Washington, D.C. and serving as a law clerk to the Chief Justice of the New Jersey Supreme Court. Mary has been honored by the University with an Award for Community Service and with a teaching award from the Law Association for Women.
Finally, Mary has lived in Ward 3 since she moved to the District in the late 1970s. She currently resides in the Forest Hills neighborhood. Mary’s two daughters, Jane and Nora Lewis, were born and raised here, both attending Murch Elementary and Georgetown Day School. Mary is a former member of the Murch after-school board, volunteered as a Stoddert soccer coach (and a licensed referee), and is a former member of the Stoddert Board. Mary is a Phi Beta Kappa graduate of Douglass College and holds law degrees from Rutgers University and Harvard Law School. She is admitted to practice in D.C., New Jersey, Massachusetts, and before federal courts.",,,http://dccouncil.us/wp-content/uploads/2017/06/CMMC_head_shot_140_137_c1-125x125-c-default.jpg,http://dccouncil.us/council/council-member-mary-m-cheh/,http://dccouncil.us/council/council-member-mary-m-cheh/,,mcheh@dccouncil.us,202-724-8062,202-724-8118,,,,,,,,
ocd-person/e3b9567d-67ff-4cc1-89eb-1ed1af646393,Phil Mendelson,Democratic,Chairman,legislature,Phil,Mendelson,,"Phil Mendelson was first elected to the Council in November 1998 as an At-Large Councilmember.  He served the District in that role until June 2012 when, following the resignation of the previous Council Chairman, Phil was selected by his colleagues to take over that role.  In November 2012 and 2014, District voters elected and re-elected Phil as Chairman of the Council.
As Chairman, Phil leads the Council on all legislative matters.  Phil also presides over the Committee of the Whole which has purview over matters concerning: the DC Auditor, the District’s budget, the Department of Consumer and Regulatory Affairs, federal relations, planning and zoning, procurement, regional bodies (Except WMATA and DC Water), the retirement system, statehood and the University of the District of Columbia.
Phil has been an active participant in District politics since 1975, when he became a member of the McLean Gardens Residents Association.  In that role he was a large part of the effort to save the 43-acre housing complex from destruction.  In 1978, Phil successfully ran for a seat on the Advisory Neighborhood Commission (ANC) and continued to serve as an ANC Commissioner until he took office as an At-Large Member of the Council.
Prior to becoming Chairman, Phil served eight years as Chair of the Council’s Committee on the Judiciary.  In this role, he was responsible for all legislation affecting criminal laws in the District, as well as oversight over the District’s public safety agencies–including the Metropolitan Police Department, Fire & Emergency Medical Services Department, and the Office of the Attorney General for the District of Columbia.
During his tenure on the Council, Phil has authored hundreds of laws.  Major accomplishments include: establishing an elected attorney general and an independent Department of Forensic Science (the city’s crime lab); authoring Budget Autonomy, the District’s gun control laws (post-Heller), marriage equality, Universal Paid Leave, and the District’s tree canopy protection law; recrafting Mayor Bowser’s homeless shelter pan to close DC General, and Mayor Gray’s plan to build the DC United Soccer Stadium; establishing the District’s first renewable portfolio standard for electricity generation; coordinating an increase in the minimum wage with Montgomery and Prince Georges Counties; and implementing the recommendations of the 2012 Tax Revision Commission that has made the District’s income tax one of the most progressive in the nation and that has reduced the business franchise tax by almost 20%.  For Fiscal Year 2019, Phil secured dedicated funding for the arts and tax relief targeted to small DC retailers.
Phil believes that government should be an honest, efficient deliverer of services, and that the District should help those least able to help themselves to develop the skills to become self-sufficient and end the cycle of poverty.  Phil believes that government must accomplish this without increasing the tax burdens already shouldered by our middle income residents.  Throughout his years of public service, Phil has maintained that the District, as the nation’s capital, should be a model of service delivery in public education, public safety, and public health.
Phil came to the District from Cleveland, Ohio in 1970 to obtain a Bachelor’s Degree in Political Science from American University.  He grew up in a family dedicated to public service.  His mother was a national crusader for nursing home reform.  His grandmother, who had been President of the Michigan State League of Women Voters, was appointed by President Roosevelt to the Federal Office of Price Administration, and was a founder of the Grand Rapids Urban League.
Phil has a daughter, Adelaide, and they live in Southeast DC.
Legislative Accomplishments:
*Establishing an elected Attorney General and the city’s independent crime lab
*Authoring Budget Autonomy
*Authoring the District’s gun control laws
*Authoring DC’s marriage equality law
*Authoring and securing adoption of Universal Paid Leave Legislation
*Recrafting the Mayor’s homeless shelter plan to close DC General
*Coordinating an increase in the minimum wage with Montgomery and Prince George’s Counties
*Implementing tax cuts recommended by the 2012 Tax Revision Commission
*Securing dedicated funding for the arts
*Targeting tax relief for small DC businesses
*Regional establishment of the Washington Metrorail Safety Commission",,,http://dccouncil.us/wp-content/uploads/2017/03/Photo-107-002-125x125-c-default.jpg,http://dccouncil.us/council/phil-mendelson/,http://dccouncil.us/council/phil-mendelson/,,pmendelson@dccouncil.us,202-724-8085,202-724-8099,,,,,,,,
