id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/7e356581-ff96-4e5d-b6bc-94b3c8e0005c,Adam Pugh,Republican,41,upper,Adam,Pugh,,,,,,http://oksenate.gov/Senators/biographies/pugh_bio.aspx,http://oksenate.gov/Senators/biographies/pugh_bio.aspx;http://oksenate.gov/Senators/biographies/pugh_bio.html,"2300 N. Lincoln Blvd., Rm. 528.1;Oklahoma City, OK 73105",,405-521-5622,,,,,,,,,
ocd-person/719605ed-1748-4c0b-bc6a-79330db17af1,Ajay Pittman,Democratic,99,lower,Ajay,Pittman,,,,,https://www.okhouse.gov/Members/Pictures/HiRes/Ajay-Pittman.jpg,https://www.okhouse.gov/Members/District.aspx?District=99,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=99,"2300 N. Lincoln Blvd.;Room 539;Oklahoma City, OK 73105",ajay.pittman@okhouse.gov,405-557-7393,,,,,,,,,
ocd-person/337c2784-911d-4e23-b4bf-6b972fef3596,Allison Ikley-Freeman,Democratic,37,upper,Allison,Ikley-Freeman,,,,,,http://oksenate.gov/Senators/biographies/ikley-freeman_bio.aspx,http://oksenate.gov/Senators/biographies/ikley-freeman_bio.aspx;http://oksenate.gov/Senators/biographies/ikley-freeman_bio.html,"2300 N. Lincoln Blvd., Room 524;Oklahoma City, OK 73105",,405-521-5600,,,,,,,,,
ocd-person/987fd457-5b14-4300-95f1-e92f7cd5f748,Andy Fugate,Democratic,94,lower,Andy,Fugate,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Fugate,%20Andy.jpg",https://www.okhouse.gov/Members/District.aspx?District=94,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=94,"2300 N. Lincoln Blvd.;Room 510B;Oklahoma City, OK 73105",andy.fugate@okhouse.gov,405-557-7370,,,,,,,,,
ocd-person/f2bc8c9d-050a-4531-84eb-1f233ad7042a,Avery Frix,Republican,13,lower,Avery,Frix,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Frix,%20Avery.jpg",https://www.okhouse.gov/Members/District.aspx?District=13,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=13,"2300 N. Lincoln Blvd.;Room 438;Oklahoma City, OK 73105",avery.frix@okhouse.gov,405-557-7302,,,,,,,,,
ocd-person/fe88c489-370f-4a38-b424-7ff24b56c81e,Ben Loring,Democratic,7,lower,Ben,Loring,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Loring,%20Ben.jpg",https://www.okhouse.gov/Members/District.aspx?District=7,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=7,"2300 N. Lincoln Blvd.;Room 503;Oklahoma City, OK 73105",ben.loring@okhouse.gov,405-557-7399,,,,,,,,,
ocd-person/446468ba-e7a8-49ff-8edc-e9f96da9d613,Bill Coleman,Republican,10,upper,Bill,Coleman,,,,,,http://oksenate.gov/Senators/biographies/coleman_bio.aspx,http://oksenate.gov/Senators/biographies/coleman_bio.aspx;http://oksenate.gov/Senators/biographies/coleman_bio.html,"2300 N. Lincoln Blvd., Rm. 432;Oklahoma City, OK 73105",,405-521-5581,,,,,,,,,
ocd-person/be4edaae-b522-4ce0-bc1d-98b813424f57,Brad Boles,Republican,51,lower,Brad,Boles,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Boles,%20Brad.jpg",https://www.okhouse.gov/Members/District.aspx?District=51,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=51,"2300 N. Lincoln Blvd.;Room 248B;Oklahoma City, OK 73105",brad.boles@okhouse.gov,405-557-7405,,,,,,,,,
ocd-person/55b572a7-2951-4597-b70c-e37b51163b03,Brenda Stanley,Republican,42,upper,Brenda,Stanley,,,,,,http://oksenate.gov/Senators/biographies/stanley_bio.aspx,http://oksenate.gov/Senators/biographies/stanley_bio.aspx;http://oksenate.gov/Senators/biographies/stanley_bio.html,"2300 N. Lincoln Blvd., Room 529.2;Oklahoma City, OK 73105",,405-521-5584,,,,,,,,,
ocd-person/bc85e399-f4bc-4690-b34b-685e15242904,Brent Howard,Republican,38,upper,Brent,Howard,,,,,,http://oksenate.gov/Senators/biographies/howard_bio.aspx,http://oksenate.gov/Senators/biographies/howard_bio.aspx;http://oksenate.gov/Senators/biographies/howard_bio.html,"2300 N. Lincoln Blvd., Rm. 536;Oklahoma City, OK 73105",,405-521-5612,,,,,,,,,
ocd-person/03af3716-0ac4-49f5-b25a-ff757420d87d,Brian Hill,Republican,47,lower,Brian,Hill,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Hill,%20Brian.jpg",https://www.okhouse.gov/Members/District.aspx?District=47,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=47,"2300 N. Lincoln Blvd.;Room 400B;Oklahoma City, OK 73105",brian.hill@okhouse.gov,405-557-7333,,,,,,,,,
ocd-person/6cfaac2f-52af-4aad-8ec4-6373bb45bf24,Carl Newton,Republican,58,lower,Carl,Newton,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Newton,%20Carl.jpg",https://www.okhouse.gov/Members/District.aspx?District=58,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=58,"2300 N. Lincoln Blvd.;Room 332;Oklahoma City, OK 73105",carl.newton@okhouse.gov,405-557-7339,,,,,,,,,
ocd-person/429be0e0-5ecc-4660-b25b-d6f7eb0dce55,Carol Bush,Republican,70,lower,Carol,Bush,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Bush,%20Carol.jpg",https://www.okhouse.gov/Members/District.aspx?District=70,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=70,"2300 N. Lincoln Blvd.;Room 204A;Oklahoma City, OK 73105",carol.bush@okhouse.gov,405-557-7359,,,,,,,,,
ocd-person/6ecf8a12-033a-41da-9b5f-3fbcf41f4841,Carri Hicks,Democratic,40,upper,Carri,Hicks,,,,,,http://oksenate.gov/Senators/biographies/hicks_bio.aspx,http://oksenate.gov/Senators/biographies/hicks_bio.aspx;http://oksenate.gov/Senators/biographies/hicks_bio.html,"2300 N. Lincoln Blvd., Room 515.2;Oklahoma City, OK 73105",,405-521-5543,,,,,,,,,
ocd-person/8c8517c3-75ee-4b27-8d8c-3444c036ba78,Casey Murdock,Republican,27,upper,Casey,Murdock,,,,,,http://oksenate.gov/Senators/biographies/murdock_bio.aspx,http://oksenate.gov/Senators/biographies/murdock_bio.aspx;http://oksenate.gov/Senators/biographies/murdock_bio.html,"2300 N. Lincoln Blvd., Rm. 430;Oklahoma City, OK 73105",,,,,,,,,,,
ocd-person/c5909558-d02d-438e-9c0c-50eb8c88f862,Chad Caldwell,Republican,40,lower,Chad,Caldwell,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Caldwell,%20Chad.jpg",https://www.okhouse.gov/Members/District.aspx?District=40,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=40,"2300 N. Lincoln Blvd.;Room 432D;Oklahoma City, OK 73105",chad.caldwell@okhouse.gov,405-557-7317,,,,,,,,,
ocd-person/b28a6474-e6ec-4d2c-be07-b39ca4900b5c,Charles McCall,Republican,22,lower,Charles,McCall,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/McCall,%20Charles.jpg",https://www.okhouse.gov/Members/District.aspx?District=22,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=22,"2300 N. Lincoln Blvd.;Room 401;Oklahoma City, OK 73105",charles.mccall@okhouse.gov,405-557-7412,,,,,,,,,
ocd-person/bc77fe92-3dac-4d74-9711-520ee5512b4a,Charles Ortega,Republican,52,lower,Charles,Ortega,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Ortega,%20Charles.jpg",https://www.okhouse.gov/Members/District.aspx?District=52,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=52,"2300 N. Lincoln Blvd.;Room 305A;Oklahoma City, OK 73105",charles.ortega@okhouse.gov,405-557-7369,,"1509 N Main, Box 292;Altus, OK 73521",,,,,,,
