id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/59a5bbf7-c5c9-436a-bf9a-61d996816297,Adelaide C. Eckardt,Republican,37,upper,Adelaide,Eckardt,,,,,http://mgaleg.maryland.gov/2019RS/images/eckardt.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=eckardt&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=eckardt&stab=01,"322 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",adelaide.eckardt@senate.state.md.us,410-841-3590,410-841-3299,,,,,,,,
ocd-person/4bf0680f-fd5c-48a1-b6d3-73672f71048a,Adrienne A. Jones,Democratic,10,lower,Adrienne,Jones,,,,,http://mgaleg.maryland.gov/2019RS/images/jones.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01,"312 House Office Building;6 Bladen Street;Annapolis, MD 21401",adrienne.jones@house.state.md.us,410-841-3391,410-841-3157,,,,,,,,
ocd-person/c4a3156f-96aa-4426-8614-0c93150ecc91,Alice Cain,Democratic,30A,lower,Alice,Cain,,,,,http://mgaleg.maryland.gov/2019RS/images/cain01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cain01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cain01&stab=01,"154 House Office Building;6 Bladen Street;Annapolis, MD 21401",alice.cain@house.state.md.us,410-841-3211,,,,,,,,,
ocd-person/0ddc9257-e4a4-4414-b21d-3467c8285806,Alonzo T. Washington,Democratic,22,lower,Alonzo,Washington,,,,,http://mgaleg.maryland.gov/2019RS/images/washington a.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01,"405 House Office Building;6 Bladen Street;Annapolis, MD 21401",alonzo.washington@house.state.md.us,410-841-3652,410-841-3699,,,,,,,,
ocd-person/7636786f-1db3-4094-8527-e339576314d6,Andrea Fletcher Harrison,Democratic,24,lower,Andrea,Harrison,,,,,http://mgaleg.maryland.gov/2019RS/images/harrison01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01,"204 House Office Building;6 Bladen Streeta;Annapolis, MD 21401",andrea.harrison@house.state.md.us,410-841-3919,,,,,,,,,
ocd-person/eedea25f-65a7-4206-b3c1-66bbd8258723,Andrew A. Serafini,Republican,2,upper,Andrew,Serafini,,,,,http://mgaleg.maryland.gov/2019RS/images/serafini01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=serafini01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=serafini01&stab=01,"321 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",andrew.serafini@senate.state.md.us,410-841-3903,,,,,,,,,
ocd-person/94ddfbc5-a635-4257-8fb6-ba34b825f0b1,Andrew Cassilly,Republican,35B,lower,Andrew,Cassilly,,,,,http://mgaleg.maryland.gov/2019RS/images/cassilly01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cassilly01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cassilly01&stab=01,"414 House Office Building;6 Bladen Street;Annapolis, MD 21401",Andrew.Cassilly@house.state.md.us,410-841-3444,,,,,,,,,
ocd-person/7bcb723d-68c2-4826-acab-0437aa27471f,Anne Healey,Democratic,22,lower,Anne,Healey,,,,,http://mgaleg.maryland.gov/2019RS/images/healey.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01,"361 House Office Building;6 Bladen Street;Annapolis, MD 21401",anne.healey@house.state.md.us,410-841-3961,410-841-3223,,,,,,,,
ocd-person/88aa2d42-9bca-4df7-b961-1516d5c1f73a,Anne R. Kaiser,Democratic,14,lower,Anne,Kaiser,,,,,http://mgaleg.maryland.gov/2019RS/images/kaiser.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01,"131 House Office Building;6 Bladen Street;Annapolis, MD 21401",anne.kaiser@house.state.md.us,410-841-3036,301-858-3060,,,,,,,,
ocd-person/2b26dc52-cb0c-4750-af6b-9c00e12eef29,Antonio L. Hayes,Democratic,40,upper,Antonio,Hayes,,,,,http://mgaleg.maryland.gov/2019RS/images/hayes02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hayes02&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hayes02&stab=01,"222 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",antonio.hayes@senate.state.md.us,410-841-3656,,,,,,,,,
ocd-person/76812cdb-3d6d-458a-b864-feb72f363a8e,April Rose,Republican,5,lower,April,Rose,,,,,http://mgaleg.maryland.gov/2019RS/images/rose01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rose01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rose01&stab=01,"320 House Office Building;6 Bladen St.;Annapolis, MD 21401",April.Rose@house.state.md.us,410-841-3070,,,,,,,,,
ocd-person/67bca7ea-f624-4343-aa47-675140e4251a,Ariana B. Kelly,Democratic,16,lower,Ariana,Kelly,,,,,http://mgaleg.maryland.gov/2019RS/images/kelly a.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelly%20a&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelly%20a&stab=01,"425 House Office Building;6 Bladen Street;Annapolis, MD 21401",ariana.kelly@house.state.md.us,410-841-3642,410-841-3026,,,,,,,,
ocd-person/ad59d051-2efb-495f-b032-524d21a95e50,Arthur Ellis,Democratic,28,upper,Arthur,Ellis,,,,,http://mgaleg.maryland.gov/2019RS/images/ellis01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ellis01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ellis01&stab=01,"302 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",arthur.ellis@senate.state.md.us,410-841-3616,,,,,,,,,
ocd-person/515dbb17-6f5d-482a-8799-a2490be688fb,Barrie S. Ciliberti,Republican,4,lower,Barrie,Ciliberti,,,,,http://mgaleg.maryland.gov/2019RS/images/ciliberti01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ciliberti01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ciliberti01&stab=01,"323 House Office Bldg.;6 Bladen Street;Annapolis, MD 21401",Barrie.Ciliberti@house.state.md.us,410-841-3080,410-841-3028,,,,,,,,
ocd-person/0e4cb257-11b9-4772-b323-624ef28fb8b6,Ben Barnes,Democratic,21,lower,Ben,Barnes,,,,,http://mgaleg.maryland.gov/2019RS/images/barnes.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=barnes&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=barnes&stab=01,"151 House Office Building;6 Bladen Street;Annapolis, MD 21401",ben.barnes@house.state.md.us,410-841-3046,410-841-3346,,,,,,,,
ocd-person/4e1fee1d-1f1c-416b-9615-4171d4074db8,Benjamin Brooks,Democratic,10,lower,Benjamin,Brooks,,,,,http://mgaleg.maryland.gov/2019RS/images/brooks01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=brooks01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=brooks01&stab=01,"304 House Office Building;6 Bladen Street;Annapolis, MD 21401",Benjamin.Brooks@house.state.md.us,410-841-3352,,,,,,,,,
ocd-person/f43bc1a5-01e8-416f-86ca-bd857bf6ed80,Benjamin F. Kramer,Democratic,19,upper,Benjamin,Kramer,,,,,http://mgaleg.maryland.gov/2019RS/images/kramer02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kramer02&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kramer02&stab=01,"401 Miller Senate Office Building;11 Bladen Street;Annapolis, MD 21401",benjamin.kramer@senate.state.md.us,410-841-3151,,,,,,,,,
ocd-person/86f0d40f-05f4-46a2-9c24-21ff52fdc6fe,Bill Ferguson,Democratic,46,upper,Bill,Ferguson,,,,,http://mgaleg.maryland.gov/2019RS/images/ferguson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ferguson&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ferguson&stab=01,"3 West Miller Senate Office Building;11 Bladen Street;Annapolis, MD 21401",bill.ferguson@senate.state.md.us,410-841-3600,410-841-3161,,,,,,,,
ocd-person/c5bd7f19-2903-4371-838e-d06dbdafcc6f,Bobby A. Zirkin,Democratic,11,upper,Bobby,Zirkin,,,,,http://mgaleg.maryland.gov/2019RS/images/zirkin.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zirkin&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zirkin&stab=01,"2 East Miller Senate Office Building;11 Bladen Street;Annapolis, MD 21401",bobby.zirkin@senate.state.md.us,410-841-3131,410-841-3737,,,,,,,,
ocd-person/de3cab57-1771-4805-b984-618ad887e38e,Bonnie Cullison,Democratic,19,lower,Bonnie,Cullison,,,,,http://mgaleg.maryland.gov/2019RS/images/cullison.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cullison&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cullison&stab=01,"151 House Office Building;6 Bladen Street;Annapolis, MD 21401",bonnie.cullison@house.state.md.us,410-841-3883,301-858-3882,,,,,,,,
ocd-person/395603e6-0fdf-4cf6-bacb-18d98c848990,Brian Chisholm,Republican,31B,lower,Brian,Chisholm,,,,,http://mgaleg.maryland.gov/2019RS/images/chisholm01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=chisholm01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=chisholm01&stab=01,"156 House Office Building;6 Bladen Street;Annapolis, MD 21401",brian.chisholm@house.state.md.us,410-841-3206,,,,,,,,,
ocd-person/c3ce882c-89d3-453c-a70f-b0ef9046fcf3,Brian J. Feldman,Democratic,15,upper,Brian,Feldman,,,,,http://mgaleg.maryland.gov/2019RS/images/feldman.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=feldman&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=feldman&stab=01,"104 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",brian.feldman@senate.state.md.us,410-841-3169,410-841-3607,,,,,,,,
ocd-person/d9828ed6-bdb0-414e-ba12-486b78362842,Brian M. Crosby,Democratic,29B,lower,Brian,Crosby,,,,,http://mgaleg.maryland.gov/2019RS/images/crosby01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=crosby01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=crosby01&stab=01,"216 House Office Building;6 Bladen Street;Annapolis, MD 21401",brian.crosby@house.state.md.us,410-841-3277,,,,,,,,,
ocd-person/eeb060ed-561b-4b1d-ad5f-5a982ea47bc6,Brooke E. Lierman,Democratic,46,lower,Brooke,Lierman,,,,,http://mgaleg.maryland.gov/2019RS/images/lierman01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=lierman01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=lierman01&stab=01,"311 House Office Building;6 Bladen Street;Annapolis, MD 21401",Brooke.Lierman@house.state.md.us,410-841-3319,,,,,,,,,
ocd-person/b0d22b6f-68c0-4dd0-892c-7844e6830693,Bryan W. Simonaire,Republican,31,upper,Bryan,Simonaire,,,,,http://mgaleg.maryland.gov/2019RS/images/simonaire.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=simonaire&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=simonaire&stab=01,"320 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",bryan.simonaire@senate.state.md.us,410-841-3658,410-841-3586,,,,,,,,
ocd-person/ab6c2e37-3818-467c-ad60-997274e897d0,C. T. Wilson,Democratic,28,lower,C. T.,Wilson,,,,,http://mgaleg.maryland.gov/2019RS/images/wilson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=wilson&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=wilson&stab=01,"410 House Office Building;6 Bladen Street;Annapolis, MD 21401",ct.wilson@house.state.md.us,410-841-3325,410-841-3367,,,,,,,,
ocd-person/74c0f2f4-ad96-4cf7-aa3f-bc939e48fa70,Carol L. Krimm,Democratic,3A,lower,Carol,Krimm,,,,,http://mgaleg.maryland.gov/2019RS/images/krimm01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=krimm01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=krimm01&stab=01,"422 House Office Building;6 Bladen Street;Annapolis, MD 21401",Carol.Krimm@house.state.md.us,410-841-3472,,,,,,,,,
ocd-person/1a43a7cb-acbf-4974-8fe8-315cb674b27d,Charles J. Otto,Republican,38A,lower,Charles,Otto,,,,,http://mgaleg.maryland.gov/2019RS/images/otto.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=otto&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=otto&stab=01,"321 House Office Building;6 Bladen Street;Annapolis, MD 21401",charles.otto@house.state.md.us,410-841-3433,410-841-3463,,,,,,,,
ocd-person/0f51a760-22e6-4a05-8be0-983dffe30e42,Charlotte Crutchfield,Democratic,19,lower,Charlotte,Crutchfield,,,,,http://mgaleg.maryland.gov/2019RS/images/crutchfield01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=crutchfield01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=crutchfield01&stab=01,"226 House Office Building;6 Bladen Street;Annapolis, MD 21401",charlotte.crutchfield@house.state.md.us,410-841-3485,,,,,,,,,
ocd-person/3b21ad36-c0bc-4341-9f55-c4529affc7f5,Cheryl C. Kagan,Democratic,17,upper,Cheryl,Kagan,,,,,http://mgaleg.maryland.gov/2019RS/images/kagan01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kagan01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kagan01&stab=01,"203 James Senate Office Building;11 Bladen St.;Annapolis, MD 21401",Cheryl.Kagan@senate.state.md.us,410-841-3134,,,,,,,,,
ocd-person/681b14d5-c05a-471b-b117-7d6b8718e847,Cheryl D. Glenn,Democratic,45,lower,Cheryl,Glenn,,,,,http://mgaleg.maryland.gov/2019RS/images/glenn.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=glenn&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=glenn&stab=01,"301 House Office Building;6 Bladen Street;Annapolis, MD 21401",cheryl.glenn@house.state.md.us,410-841-3257,410-841-3019,,,,,,,,
ocd-person/99ff7e2c-87d6-49d5-b112-3807852511bc,Chris West,Republican,42,upper,Chris,West,,,,,http://mgaleg.maryland.gov/2019RS/images/west02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=west02&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=west02&stab=01,"303 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",chris.west@senate.state.md.us,410-841-3648,,,,,,,,,
ocd-person/b7e16db2-0bde-4bed-8eb1-09f30ae66d4e,Christopher T. Adams,Republican,37B,lower,Christopher,Adams,,,,,http://mgaleg.maryland.gov/2019RS/images/adams01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=adams01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=adams01&stab=01,"426 House Office Building;6 Bladen Street;Annapolis, MD 21401",christopher.adams@house.state.md.us,410-841-3343,,,,,,,,,
ocd-person/b002bdd1-0622-4462-8623-e8bb52fde504,Clarence K. Lam,Democratic,12,upper,Clarence,Lam,,,,,http://mgaleg.maryland.gov/2019RS/images/lam02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=lam02&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=lam02&stab=01,"420 Miller Senate Office Building;11 Bladen Street;Annapolis, MD 21401",clarence.lam@senate.state.md.us,410-841-3653,,,,,,,,,
ocd-person/be00c352-4825-4b80-97cd-954097e3a482,Cory V. McCray,Democratic,45,upper,Cory,McCray,,,,,http://mgaleg.maryland.gov/2019RS/images/mccray02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mccray02&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mccray02&stab=01,"221 James Senate Office Building;11 Bladen Street;Annapolis, MD 21401",cory.mccray@senate.state.md.us,410-841-3165,,,,,,,,,
ocd-person/ef1a4d48-39d0-4b6c-9ffc-a6d30b28476d,Courtney Watson,Democratic,9B,lower,Courtney,Watson,,,,,http://mgaleg.maryland.gov/2019RS/images/watson02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=watson02&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=watson02&stab=01,"209 House Office Building;6 Bladen Street;Annapolis, MD 21401",courtney.watson@house.state.md.us,410-841-3077,,,,,,,,,
ocd-person/00b4a416-e9ca-44ad-b808-58c19d6fb54a,Craig J. Zucker,Democratic,14,upper,Craig,Zucker,,,,,http://mgaleg.maryland.gov/2019RS/images/zucker01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zucker01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zucker01&stab=01,"122 James Senate Office Bldg;11 Bladen Street;Annapolis, MD 21401",craig.zucker@senate.state.md.us,410-841-3625,,,,,,,,,
ocd-person/28685b0a-03b6-44b6-90f8-855bfcd46d72,Curt Anderson,Democratic,43,lower,Curt,Anderson,,,,,http://mgaleg.maryland.gov/2019RS/images/anderson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=anderson&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=anderson&stab=01,"314 House Office Building;6 Bladen Street;Annapolis, MD 21401",curt.anderson@house.state.md.us,410-841-3291,410-841-3024,,,,,,,,
ocd-person/d848993b-65e9-4ea3-ab2a-dfaf796142cc,Dalya Attar,Democratic,41,lower,Dalya,Attar,,,,,http://mgaleg.maryland.gov/2019RS/images/attar01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=attar01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=attar01&stab=01,"317 House Office Building;6 Bladen Street;Annapolis, MD 21401",dalya.attar@house.state.md.us,410-841-3268,,,,,,,,,
ocd-person/6eccab4f-20a7-423a-ba12-42a8625d0c9f,Dan Cox,Republican,4,lower,Dan,Cox,,,,,http://mgaleg.maryland.gov/2019RS/images/cox01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cox01&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cox01&stab=01,"326 House Office Building;6 Bladen Street;Annapolis, MD 21401",dan.cox@house.state.md.us,410-841-3288,,,,,,,,,
ocd-person/0418164e-2e86-4186-9f2d-327cb86b7eda,Dana Stein,Democratic,11,lower,Dana,Stein,,,,,http://mgaleg.maryland.gov/2019RS/images/stein.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=stein&stab=01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=stein&stab=01,"251 House Office Building;6 Bladen Street;Annapolis, MD 21401",dana.stein@house.state.md.us,410-841-3527,410-841-3509,,,,,,,,
