id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/4bbcce4c-61c0-4535-b5fa-0a87a13a49ee,Alan Olsen,Republican,20,upper,Alan,Olsen,,,,,https://www.oregonlegislature.gov/senate/MemberPhotos/olsen.jpg,https://www.oregonlegislature.gov/olsen,https://www.oregonlegislature.gov/olsen,"900 Court St NE, S-425, Salem, OR, 97301",Sen.AlanOlsen@oregonlegislature.gov,503-986-1720,,,,,,,,,
ocd-person/4729c2f4-7d7a-41fc-a5fa-1b2f792c7191,Alissa Keny-Guyer,Democratic,46,lower,Alissa,Keny-Guyer,,,,,https://www.oregonlegislature.gov/house/MemberPhotos/keny-guyer.jpg,https://www.oregonlegislature.gov/keny-guyer,https://www.oregonlegislature.gov/keny-guyer,"900 Court St NE, H-484, Salem, OR, 97301",Rep.AlissaKenyGuyer@oregonlegislature.gov,503-986-1446,,,,,,,,,
ocd-person/d3080378-22b0-44e2-8266-0ad7910eec85,Andrea Salinas,Democratic,38,lower,Andrea,Salinas,,,,,https://www.oregonlegislature.gov/house/MemberPhotos/salinas.jpg,https://www.oregonlegislature.gov/salinas,https://www.oregonlegislature.gov/salinas,"900 Court St NE, H-485, Salem, OR, 97301",Rep.AndreaSalinas@oregonlegislature.gov,503-986-1438,,,,,,,,,
ocd-person/184e8f5d-482e-4d96-bd3b-4792f0c3c6cc,Anna Williams,Democratic,52,lower,,,,,,,https://www.oregonlegislature.gov/house/MemberPhotos/williams.jpg,https://www.oregonlegislature.gov/williams,https://www.oregonlegislature.gov/williams,"900 Court St NE, H-377, Salem, OR, 97301",Rep.AnnaWilliams@oregonlegislature.gov,503-986-1452,,,,,,,,,
ocd-person/5ba4c915-2383-4233-8b3f-d9313790845e,Arnie Roblan,Democratic,5,upper,Arnie,Roblan,,,,,https://www.oregonlegislature.gov/senate/MemberPhotos/roblan.jpg,https://www.oregonlegislature.gov/roblan,https://www.oregonlegislature.gov/roblan,"900 Court St NE, S-417, Salem, OR, 97301",Sen.ArnieRoblan@oregonlegislature.gov,503-986-1705,,,,,,,,,
ocd-person/5b85821b-4b40-473b-b0a2-6a8ac013a5e8,Barbara Smith Warner,Democratic,45,lower,Barbara Smith,Warner,,,,,https://www.oregonlegislature.gov/house/MemberPhotos/smithwarner.jpg,https://www.oregonlegislature.gov/smithwarner,https://www.oregonlegislature.gov/smithwarner,"900 Court St NE, H-286, Salem, OR, 97301",Rep.BarbaraSmithWarner@oregonlegislature.gov,503-986-1445,,,,,,,,,
ocd-person/987d726c-366d-4b11-8049-bd9086a2b3c8,Betsy Johnson,Democratic,16,upper,Betsy,Johnson,,,,,https://www.oregonlegislature.gov/senate/MemberPhotos/johnson.jpg,https://www.oregonlegislature.gov/johnson,https://www.oregonlegislature.gov/johnson,"900 Court St NE, S-209, Salem, OR, 97301",Sen.BetsyJohnson@oregonlegislature.gov,503-986-1716,,,,,,,,,
ocd-person/399d6ac3-b0a1-4175-bf62-761fa505150f,Bill Hansell,Republican,29,upper,Bill,Hansell,,,,,https://www.oregonlegislature.gov/senate/MemberPhotos/hansell.jpg,https://www.oregonlegislature.gov/hansell,https://www.oregonlegislature.gov/hansell,"900 Court St NE, S-415, Salem, OR, 97301",Sen.BillHansell@oregonlegislature.gov,503-986-1729,,,,,,,,,
ocd-person/d579a180-a149-4b79-834b-a70dbdc7b225,Bill Post,Republican,25,lower,Bill,Post,,,,,https://www.oregonlegislature.gov/house/MemberPhotos/post.jpg,https://www.oregonlegislature.gov/post,https://www.oregonlegislature.gov/post,"900 Court St NE, H-479, Salem, OR, 97301",Rep.BillPost@oregonlegislature.gov,503-986-1425,,,,,,,,,
ocd-person/ad6cb690-3020-40ae-ac36-676e414b07b2,Brad Witt,Democratic,31,lower,Brad,Witt,,,,,https://www.oregonlegislature.gov/house/MemberPhotos/witt.jpg,https://www.oregonlegislature.gov/witt,https://www.oregonlegislature.gov/witt,"900 Court St NE, H-382, Salem, OR, 97301",Rep.BradWitt@oregonlegislature.gov,503-986-1431,,,,,,,,,
