id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/4672a6e8-c178-4444-b602-0730b0c8a559,Aaron Lieberman,Democratic,28,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1910,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 120;Phoenix, AZ 85007",,602-926-3300,,,,,,,,,
ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee,Alma Hernandez,Democratic,3,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1893,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 122;Phoenix, AZ 85007",,602-926-3136,,,,,,,,,
ocd-person/6143aa75-8c8e-4e34-9c6c-810169a81333,Amish Shah,Democratic,24,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1908,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 123;Phoenix, AZ 85007",,602-926-3280,,,,,,,,,
ocd-person/cfdc1ced-f218-4381-b6ec-347bc963fd5d,Andrea Dalessandro,Democratic,2,upper,Andrea,Dalessandro,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/DALESSANDRO.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=54&session=121&legislator=1918,http://www.azleg.gov/MemberRoster/?body=S,"Senate;1700 West Washington;Room Room 312;Phoenix, AZ 85007",,602-926-5342,,,,,,,,,
ocd-person/bf8c0b1e-77ff-49b8-8837-a82bfec24654,Andres Cano,Democratic,3,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1892,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 332;Phoenix, AZ 85007",,602-926-3027,,,,,,,,,
ocd-person/5053d803-8513-47ed-9ad1-d49c1b12f012,Anthony T. Kern,Republican,20,lower,Anthony T.,Kern,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/KERN.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1868,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 306;Phoenix, AZ 85007",,602-926-3102,,,,,,,,,
ocd-person/40d633d7-e765-444a-ab24-fa111fc2c71a,Arlando Teller,Democratic,7,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1896,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 115;Phoenix, AZ 85007",,602-926-3069,,,,,,,,,
ocd-person/226f30cc-1c58-49e3-bbf3-5f3713d988a5,Athena Salman,Democratic,26,lower,Athena,Salman,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/SALMAN.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1885,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 123;Phoenix, AZ 85007",,602-926-4858,,,,,,,,,
ocd-person/ccbe4279-6732-48db-9ee1-64052ce94c1d,Becky A. Nutt,Republican,14,lower,Becky A.,Nutt,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/NUTT.png,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1880,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 122;Phoenix, AZ 85007",,602-926-4852,,,,,,,,,
ocd-person/6d71c8d3-c677-4f4b-96eb-411fbc464c2c,Ben Toma,Republican,22,lower,Ben,Toma,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/TOMA.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1888,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 312;Phoenix, AZ 85007",,602-926-3298,,,,,,,,,
ocd-person/b10bd9b9-32a0-464d-b770-91b0ef7efffa,Bob Thorpe,Republican,6,lower,Bob,Thorpe,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/THORPE.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1872,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 130;Phoenix, AZ 85007",,602-926-5219,,,,,,,,,
ocd-person/2c527247-b060-4ba1-9baa-02b8d1a8f10f,Bret Roberts,Republican,11,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1899,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 344;Phoenix, AZ 85007",,602-926-3158,,,,,,,,,
ocd-person/2f372933-011d-4ef8-bdcd-894852775f84,Charlene R. Fernandez,Democratic,4,lower,Charlene R.,Fernandez,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/FERNANDEZ.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1864,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 322;Phoenix, AZ 85007",,602-926-3098,,,,,,,,,
ocd-person/ef2d267c-6c9a-4a1b-aa93-d7c942514a5c,César Chávez,Democratic,29,lower,César,Chávez,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/CHÁVEZ.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1887,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 318;Phoenix, AZ 85007",,602-926-4862,,,,,,,,,
ocd-person/bd6b8ff6-3e5d-47bf-be70-1a7df7f5caa6,"Daniel Hernandez, Jr.",Democratic,2,lower,Daniel,Hernandez,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/HERNANDEZ_D.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1875;https://www.azleg.gov/House/House-member/?legislature=53&session=119&legislator=1749,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 115;Phoenix, AZ 85007",,602-926-4840,,,,,,,,,
ocd-person/a484da33-068f-46fe-bc6c-1a97aa75d0eb,David Bradley,Democratic,10,upper,David,Bradley,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/BRADLEY.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=54&session=121&legislator=1926,http://www.azleg.gov/MemberRoster/?body=S,"Senate;1700 West Washington;Room Room 213;Phoenix, AZ 85007",,602-926-5262,,,,,,,,,
ocd-person/1ca997cb-913e-4b7a-a2d0-09a53c158726,David C. Farnsworth,Republican,16,upper,David C.,Farnsworth,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/FARNSWORTH_D.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=54&session=121&legislator=1932,http://www.azleg.gov/MemberRoster/?body=S,"Senate;1700 West Washington;Room Room 300;Phoenix, AZ 85007",,602-926-3020,,,,,,,,,
ocd-person/96ec9994-949d-47bd-8b20-79dec573323f,David Gowan,Republican,14,upper,,,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/GOWAN.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=54&session=121&legislator=1930,http://www.azleg.gov/MemberRoster/?body=S,"Senate;1700 West Washington;Room Room 200;Phoenix, AZ 85007",,602-926-5154,,,,,,,,,
ocd-person/b7d285d8-63a8-4e65-8889-2aa064eda4ff,David L. Cook,Republican,8,lower,David L.,Cook,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/COOK.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1876,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 341;Phoenix, AZ 85007",,602-926-5162,,,,,,,,,
ocd-person/6e8f2c0d-c9d3-4cb5-ae59-5264cb6d61a7,David Livingston,Republican,22,upper,David,Livingston,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/LIVINGSTON.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=54&session=121&legislator=1938,http://www.azleg.gov/MemberRoster/?body=S,"Senate;1700 West Washington;Room Room 301;Phoenix, AZ 85007",,602-926-4178,,,,,,,,,
ocd-person/d3b0bc3b-9991-4b56-b277-2b63f5e7ca9a,David Stringer,Republican,1,lower,David,Stringer,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/STRINGER.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1891,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 308;Phoenix, AZ 85007",,602-926-4838,,,,,,,,,
ocd-person/dbed9b56-00bd-4f80-99a4-38965c13caa8,Diego Espinoza,Democratic,19,lower,Diego,Espinoza,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/ESPINOZA.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1863,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 338;Phoenix, AZ 85007",,602-926-3134,,,,,,,,,
ocd-person/46df0c15-47f1-43fd-bc0b-95a16c64a04c,Diego Rodriguez,Democratic,27,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1909,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room;Phoenix, AZ 85007",,602-926-3285,,,,,,,,,
ocd-person/b4d08028-9e26-4e14-88ea-837ca9c0fdeb,Domingo DeGrazia,Democratic,10,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1898,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 318;Phoenix, AZ 85007",,602-926-3153,,,,,,,,,
ocd-person/ba8ad599-6aed-4851-844f-373ed8bc7065,Eddie Farnsworth,Republican,12,upper,Eddie,Farnsworth,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/FARNSWORTH_E.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=54&session=121&legislator=1928,http://www.azleg.gov/MemberRoster/?body=S,"Senate;1700 West Washington;Room Room 304;Phoenix, AZ 85007",,602-926-5735,,,,,,,,,
ocd-person/faca0001-6681-450b-9577-6185f4f49a3d,Frank Carroll,Republican,22,lower,,,,,,,,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1906,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 342;Phoenix, AZ 85007",,602-926-3249,,,,,,,,,
ocd-person/bf2e75c1-220e-4b88-9cbc-f4a4e9ddf46b,Frank Pratt,Republican,8,upper,Frank,Pratt,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/Senate/PRATT.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=54&session=121&legislator=1924,http://www.azleg.gov/MemberRoster/?body=S,"Senate;1700 West Washington;Room Room 310;Phoenix, AZ 85007",,602-926-5761,,,,,,,,,
ocd-person/1e39adcf-868d-4722-a07b-09fcd36ad9ed,Gail Griffin,Republican,14,lower,Gail,Griffin,,,,,https://www.azleg.gov/alisImages/MemberPhotos/53leg/Senate/GRIFFIN.gif,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1913,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 225;Phoenix, AZ 85007",,602-926-5895,,,,,,,,,
ocd-person/04b69242-e149-465f-ae0d-226d91851944,Gerae Peten,Democratic,4,lower,Gerae,Peten,,,,,https://www.azleg.gov/alisImages/MemberPhotos/54leg/House/PETEN.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=121&legislator=1889,http://www.azleg.gov/MemberRoster/?body=H,"House of Representatives;1700 West Washington;Room Room 117;Phoenix, AZ 85007",,602-926-4842,,,,,,,,,
