id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/ad1043f8-3e28-4588-a0c4-8ae248470d1f,Abel Nazario Quiñones,Partido Nuevo Progresista,At-Large,upper,Abel,Nazario Quiñones,,,,,https://senado.pr.gov/PublishingImages/Senadores/senador-1.jpg,https://senado.pr.gov/Pages/Senators/HON--ABEL-NAZARIO-QUINONES.aspx,https://senado.pr.gov/Pages/Senators/HON--ABEL-NAZARIO-QUINONES.aspx,,abnazario@senado.pr.gov,787-724-2030,,,,,,,,,
ocd-person/dbfd900c-4b48-4805-b60a-1c3acfc9ecca,Angel Bulerín Ramos,Partido Nuevo Progresista,37,lower,Angel,Bulerín Ramos,,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/ba7ff98-f29b-430e-a54b-af7b24c2fc8c.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=40,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=40;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx,SÓTANO CAPITOLIO,,787-622-4380,,,,,,,,,
ocd-person/b86bed36-d8ce-4c24-8542-4d3c49d7e2be,Angel N. Matos García,Partido Popular Democrático,40,lower,Angel,Matos García,,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/f043c758-336b-46e7-ab8b-9baaf811359e.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=66,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=66;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx,Sótano Capitolio,,787-622-4486,,,,,,,,,
ocd-person/ada3a774-dcc5-4e77-8f69-0cf51cd48e48,Angel R. Martínez Santiago,Partido Nuevo Progresista,III,upper,Angel,Martínez Santiago,,,,,https://senado.pr.gov/PublishingImages/Senadores/senador-11.jpg,https://senado.pr.gov/Pages/Senators/HON--ANGEL-R--MARTINEZ-SANTIAGO.aspx,https://senado.pr.gov/Pages/Senators/HON--ANGEL-R--MARTINEZ-SANTIAGO.aspx,,anmartinez@senado.pr.gov,787-724-2030,,,,,,,,,
ocd-person/581cc244-f938-4b8a-b0d5-76b7739471aa,Anibal J. Torres Torres,Partido Popular Democrático,At-Large,upper,Anibal,Torres Torres,,,,,https://senado.pr.gov/PublishingImages/Senadores/senador-9.jpg,https://senado.pr.gov/Pages/Senators/HON--ANIBAL-J--TORRES-TORRES.aspx,https://senado.pr.gov/Pages/Senators/HON--ANIBAL-J--TORRES-TORRES.aspx,,ajtorres@senado.pr.gov,787-724-2030,,,,,,,,,
ocd-person/5dc1a413-a789-4556-99da-59c8c2092e25,Antonio L. Soto Torres,Partido Nuevo Progresista,6,lower,Antonio,Soto Torres,,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/7e22dc7b-b52a-480d-b62f-a9e4b9c5fead.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=61,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=61;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx,3er. PISO MEDICINA TROPICAL,,787-725-2698,787-723-4679,,,,,,,,
ocd-person/5a13a5f4-f2c6-46fe-8d3b-55339f2be867,Axel F. Roque Gracia,Partido Nuevo Progresista,VI,upper,Axel,Roque Gracia,,,,,https://senado.pr.gov/PublishingImages/Senadores/senador-2.jpg,https://senado.pr.gov/Pages/Senators/HON--AXEL-F--ROQUE-GRACIA.aspx,https://senado.pr.gov/Pages/Senators/HON--AXEL-F--ROQUE-GRACIA.aspx,,aroque@senado.pr.gov,787-724-2030,,,,,,,,,
ocd-person/7830892d-ccde-4626-b96d-54324cbba5c3,Brenda López de Arrarás,Partido Popular Democrático,At-Large,lower,Brenda,López de Arrarás,,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/5d66d313-b280-420e-aff6-ba80ab25d8a4.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=7,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=7;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx,1er. PISO ANEXO,,787-725-2771,787-622-4482,,,,,,,,
ocd-person/c69ad90f-04d6-43c9-9b53-73fd0f1c6d74,Carlos A. Bianchi Angleró,Partido Popular Democrático,20,lower,Carlos,Bianchi Angleró,,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/c71258b-4b3e-4ca6-a071-bb0b64ae3e57.jpg,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=71,http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=71;http://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx,3er. PISO LUIS A. FERRER,,787-977-2456,787-977-2437,,,,,,,,
ocd-person/9e8443b9-3895-43fd-bb01-efe0f2f359b3,Carlos J. Rodríguez Mateo,Partido Nuevo Progresista,VI,upper,Carlos,Rodríguez Mateo,,,,,https://senado.pr.gov/PublishingImages/Senadores/senador-29.jpg,https://senado.pr.gov/Pages/Senators/HON--CARLOS-J--RODRÍGUEZ-MATEO.aspx,https://senado.pr.gov/Pages/Senators/HON--CARLOS-J--RODRÍGUEZ-MATEO.aspx,,cjrodriguez@senado.pr.gov,787-724-2030,,,,,,,,,
