id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/dc645a5d-c2b0-4686-a727-920c027470ef,Al Kramer,Republican,40,lower,Al,Kramer,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Kramer.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=342,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=342,,,,,"401 South Carson Street;Carson City, NV 89701-4747",Al.Kramer@asm.state.nv.us,775-721-5865,,,,,
ocd-person/90f7747d-832e-48a9-9654-d49d8652f91e,Alex Assefa,Democratic,42,lower,,,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Assefa.Alexander.357.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=357,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=357,,,,,"4001 South Decatur Boulevard, No. 37-497;Las Vegas, NV 89103-5860",,,,,,,
ocd-person/6fee4c5a-f125-46bc-b11a-d254e40428e4,Alexis Hansen,Republican,32,lower,,,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Hansen.Alexis.366.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=366,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=366,,,,,"68 Amigo Court;Sparks, NV 89441-6213",Alexis.Hansen@asm.state.nv.us,775-626-1122,,,,,
ocd-person/ba795c1a-235c-49d1-af4d-9d23a2395ccb,Bea Duran,Democratic,11,lower,,,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Duran.Bea.373.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=373,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=373,,,,,"241 North 18th Street, Unit B;Las Vegas, NV 89101-4492",,,,,,,
ocd-person/b59d17af-7d1c-453a-817b-a761bdc90944,Ben Kieckhefer,Republican,16,upper,Ben,Kieckhefer,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Kieckhefer.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=115,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=115,,,,,"10045 Goler Wash Court;Reno, NV 89521-3029",Ben.Kieckhefer@sen.state.nv.us,775-223-9618,,,,,
ocd-person/287d0078-78f3-4717-8493-9f77d0eb57d6,Brittney Miller,Democratic,5,lower,Brittney,Miller,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Miller.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=304,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=304,,,,,"9030 West Sahara, No. 364;Las Vegas, NV 89117-5744",Brittney.Miller@asm.state.nv.us,702-518-0599,,,,,
ocd-person/31aaed62-392a-4a1a-95ed-147a68f2c927,Chris Brooks,Democratic,3,upper,Chris,Brooks,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Brooks.Chris.311.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=311,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=311,,,,,"3540 West Sahara, No. 188;Las Vegas, NV 89102-5816",Chris.Brooks@sen.state.nv.us,702-682-1294,,,,,
ocd-person/55e70444-f884-463e-a8af-240aa916de57,Chris Edwards,Republican,19,lower,Chris,Edwards,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Edwards.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=279,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=279,,,,,"6088 Riflecrest Avenue;Las Vegas, NV 89156-4778",Chris.Edwards@asm.state.nv.us,702-715-4308,,,,,
ocd-person/6036daa0-6fa7-47e1-8e6a-0cd6a0d5cd1e,Connie Munk,Democratic,4,lower,,,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Assembly/Images/Munk.Connie.360.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=360,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=360,,,,,"10040 West Cheyenne Avenue, No. 170-184;Las Vegas, NV 89129-7719",,,,,,,
ocd-person/ab30aa3f-5248-44f6-9e23-00f85f8e4d2e,Dallas Harris,Democratic,11,upper,,,,,,,https://leg.state.nv.us/Session/80th2019/legislators/Senators/Images/Harris.Dallas.370.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=370,https://www.leg.state.nv.us/App/Legislator/A/api/80th2019/Legislator?id=370,,,,,"8020 South Rainbow Blvd., Suite 100, #271;Las Vegas, NV 89139",,,,,,,
