id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/340b7b78-4f07-49ef-8872-dab35cf48c5c,A. Shane Massey,Republican,25,upper,A. Shane,Massey,,,,,http://www.scstatehouse.gov/images/members/1185227131.jpg,http://www.scstatehouse.gov/member.php?code=1185227131,http://www.scstatehouse.gov/member.php?chamber=S;http://www.scstatehouse.gov/member.php?code=1185227131,311 Gressette Bldg.Columbia 29201,,803-212-6330,,P.O. Box 551Edgefield 29824,,803-480-0419,,,,,
ocd-person/d1f0e6e5-5d28-4e9e-a0f9-04d6164b4173,Adam M. Morgan,Republican,20,lower,Adam M.,Morgan,,,,,http://www.scstatehouse.gov/images/members/1370454381.jpg,http://www.scstatehouse.gov/member.php?code=1370454381,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1370454381,,,,,803 Ikes RoadTaylors 29687,,864-517-7068,,,,,
ocd-person/b6b15eb5-8411-45d4-9a38-77e6a76fe487,Alan D. Clemmons,Republican,107,lower,Alan,Clemmons,,,,,http://www.scstatehouse.gov/images/members/0353977231.jpg,http://www.scstatehouse.gov/member.php?code=0353977231,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0353977231,519C Blatt Bldg.Columbia 29201,,803-734-3113,,1800 North Oak St.Myrtle Beach 29577,,843-448-4246,,,,,
ocd-person/6b6644b8-f861-4969-be50-9844287b4a60,Anne J. Thayer,Republican,9,lower,Anne,Thayer,,,,,http://www.scstatehouse.gov/images/members/1812499783.jpg,http://www.scstatehouse.gov/member.php?code=1812499783,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1812499783,436B Blatt Bldg.Columbia 29201,,803-212-6889,,225 Ansonborough PlantationBelton 29627,,864-224-2919,,,,,
ocd-person/86e53967-3383-4df1-b3b6-49aa2b327110,Annie E. McDaniel,Democratic,41,lower,Annie E.,McDaniel,,,,,http://www.scstatehouse.gov/images/members/1221590763.jpg,http://www.scstatehouse.gov/member.php?code=1221590763,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1221590763,,,,,2247 Kennedy RoadWinnsboro 29180,,803-635-6894,,,,,
ocd-person/14cfa78e-9970-4c17-97dc-420de50ed081,Ashley B. Trantham,Republican,28,lower,Ashley B.,Trantham,,,,,http://www.scstatehouse.gov/images/members/1841477052.jpg,http://www.scstatehouse.gov/member.php?code=1841477052,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1841477052,306D Blatt Bldg.Columbia 29201,,803-212-6966,,"101 West Court St.Suite A, Greenville 29601",,864-243-5928,,,,,
ocd-person/7b3e5580-ce7c-4c48-b021-173b8cbd8a77,Bart T. Blackwell,Republican,81,lower,Bart T.,Blackwell,,,,,http://www.scstatehouse.gov/images/members/0144318165.jpg,http://www.scstatehouse.gov/member.php?code=0144318165,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0144318165,416D Blatt Bldg.Columbia 29201,,803-212-6884,,P.O. Box 6658Aiken 29804,,803-649-4938,,,,,
ocd-person/a45d8c37-372d-4d32-b9a5-cce96299ea3d,Beth E. Bernstein,Democratic,78,lower,Beth E.,Bernstein,,,,,http://www.scstatehouse.gov/images/members/0141477256.jpg,http://www.scstatehouse.gov/member.php?code=0141477256,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0141477256,532C Blatt Bldg.Columbia 29201,,803-212-6940,,1019 Assembly St.Columbia 29201,,803-799-7900,,,,,
ocd-person/010940bd-8041-4f17-b425-5f42c8c07526,Bill Taylor,Republican,86,lower,Bill,Taylor,,,,,http://www.scstatehouse.gov/images/members/1811363419.jpg,http://www.scstatehouse.gov/member.php?code=1811363419,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=1811363419,416B Blatt Bldg.Columbia 29201,,803-212-6923,,P.O. Box 2646Aiken 29802,,803-270-2012,,,,,
ocd-person/083dd694-e9e1-43fb-a857-760acfb78ef8,Bobby J. Cox,Republican,21,lower,Bobby J.,Cox,,,,,http://www.scstatehouse.gov/images/members/0427840858.jpg,http://www.scstatehouse.gov/member.php?code=0427840858,http://www.scstatehouse.gov/member.php?chamber=H;http://www.scstatehouse.gov/member.php?code=0427840858,,,,,419 The Parkway PMB #128Greer 29650,,864-631-5840,,,,,
