id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/08a4ab21-c0f2-4ae5-ae36-70062cbc5c4e,Aileen Gunther,Democratic,100,lower,Aileen,Gunther,,,,,http://assembly.state.ny.us/mem/pic/100.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Aileen-M-Gunther,,GuntheA@nyassembly.gov,,,,,,,,,,
ocd-person/dff234fa-8563-4028-982e-c0a221d99fd9,Al Stirpe,Democratic,127,lower,Al,Stirpe,,,,,http://assembly.state.ny.us/mem/pic/127.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Al-Stirpe,"LOB 656;Albany, NY 12248",StirpeA@nyassembly.gov,518-455-4505,,"7293 Buckley Road;Suite 201;N. Syracuse, NY 13212",,315-452-1115,,,,,
ocd-person/c197076b-7dde-4f90-b04f-352053fbab94,Al Taylor,Democratic,71,lower,Al,Taylor,,,,,http://assembly.state.ny.us/mem/pic/071.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Al-Taylor,"LOB 633;Albany, NY 12248",taylora@nyassembly.gov,518-455-5491,,"2541-55 Adam Clayton;Powell Jr. Blvd.;New York, NY 10039",,212-234-1430,,,,,
ocd-person/9cadef31-a5ba-4766-a928-d4dfedcdb031,Alessandra Biaggi,Democratic,34,upper,,,,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/official-headshot-a.jpg?itok=LIvbywnS,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/alessandra-biaggi/contact,http://www.nysenate.gov/senators/alessandra-biaggi/contact,,biaggi@nysenate.gov,,,"188 State Street, Legislative Office Bldg.,;Albany,, NY 12247",,518-455-3595,,,,,
ocd-person/2196fbda-e731-4e6b-a221-7bf5e25b8b95,Alicia Hyndman,Democratic,29,lower,Alicia,Hyndman,,,,,http://assembly.state.ny.us/mem/pic/029.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Alicia-Hyndman,"LOB 820;Albany, NY 12248",hyndmana@nyassembly.gov,518-455-4451,,"232-06A Merrick Blvd.;Springfield Gardens, NY 11413",,718-723-5412,,,,,
ocd-person/f0f08f55-cf1f-477c-a5f8-a7f2382e5fa8,Amy Paulin,Democratic,88,lower,Amy,Paulin,,,,,http://assembly.state.ny.us/mem/pic/088.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Amy-Paulin,"LOB 422;Albany, NY 12248",PaulinA@nyassembly.gov,518-455-5585,,"700 White Plains Rd.;Suite 252;Scarsdale, NY 10583",,914-723-1115,,,,,
ocd-person/5f3e7bcf-9e43-423b-946b-982cc6ecc154,Andrea Stewart-Cousins,Democratic,35,upper,Andrea,Stewart-Cousins,,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/asc_headshot.jpg?itok=RHphZkr2,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/andrea-stewart-cousins/contact,http://www.nysenate.gov/senators/andrea-stewart-cousins/contact,,scousins@nysenate.gov,,,"28 Wells Avenue, Building #3;Yonkers,, NY 10701",,914-423-4031,914-423-0979,,,,
ocd-person/87c48f3f-f139-468a-965b-84a354c7edce,Andrew Garbarino,Republican,7,lower,Andrew,Garbarino,,,,,http://assembly.state.ny.us/mem/pic/007.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Andrew-R-Garbarino,"LOB 402;Albany, NY 12248",GarbarinoA@nyassembly.gov,518-455-4611,,"859 Montauk Hwy;Suite 1;Bayport, NY 11705",,631-589-0348,631-589-0487,,,,
ocd-person/ae1f415b-958c-4a4c-805b-626e6eca5fe3,Andrew Gounardes,Democratic,22,upper,,,,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/sd-22_unofficialhs.jpg?itok=WLjnHngF,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/andrew-gounardes/contact,http://www.nysenate.gov/senators/andrew-gounardes/contact,,gounardes@nysenate.gov,,,"Legislative Office Bldg.;Albany,, NY 12247",,718-238-6044,518-426-6782,,,,
ocd-person/2a9aad09-337f-4fd0-8e87-70afd78ac8cc,Andrew Hevesi,Democratic,28,lower,Andrew,Hevesi,,,,,http://assembly.state.ny.us/mem/pic/028.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Andrew-Hevesi,"LOB 844;Albany, NY 12248",HevesiA@nyassembly.gov,518-455-4926,,"70-50 Austin Street;Suite 118;Forest Hills, NY 11375",,718-263-5595,,,,,
ocd-person/8dd98240-93c9-486a-b6c6-3a794b232090,Andrew J. Lanza,Republican,24,upper,Andrew,Lanza,,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-23-07%29%20Lanza-HS-029-8x10.jpg?itok=uv7iqzwV,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/andrew-j-lanza/contact,http://www.nysenate.gov/senators/andrew-j-lanza/contact,,lanza@nysenate.gov,,,"3845 Richmond Ave. Suite 2A;Staten Island,, NY 10312",,718-984-4073,718-984-4455,,,,
ocd-person/cb4fad06-9562-4a87-82ed-64a592e65bd6,Andrew Raia,Republican,12,lower,Andrew,Raia,,,,,http://assembly.state.ny.us/mem/pic/012.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Andrew-P-Raia,"LOB 635;Albany, NY 12248",RaiaA@nyassembly.gov,518-455-5952,,"75 Woodbine Avenue;Northport, NY 11768",,631-261-4151,,,,,
ocd-person/8df5afaf-8007-4ed2-993a-e3663e5e3ec6,Andy Goodell,Republican,150,lower,Andy,Goodell,,,,,http://assembly.state.ny.us/mem/pic/150.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Andy-Goodell,"LOB 446;Albany, NY 12248",goodella@nyassembly.gov,518-455-4511,,"Fenton Building;2 E. 2nd Street, Suite 320;Jamestown, NY 14701",,716-664-7773,,,,,
ocd-person/461e374c-cde4-4865-9fec-141502275a8b,Angelo Morinello,Republican,145,lower,Angelo,Morinello,,,,,http://assembly.state.ny.us/mem/pic/145.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Angelo-J-Morinello,"LOB 721;Albany, NY 12248",morinelloa@nyassembly.gov,518-455-5284,,"800 Main Street, Suite 2C;Niagara Falls, NY 14301",,716-282-6062,,,,,
ocd-person/0193e8ea-3830-45af-86e7-34427396a7b4,Angelo Santabarbara,Democratic,111,lower,Angelo,Santabarbara,,,,,http://assembly.state.ny.us/mem/pic/111.jpg,http://assembly.state.ny.us/mem/?sh=email,http://assembly.state.ny.us/mem/Angelo-Santabarbara,,SantabarbaraA@nyassembly.gov,,,,,,,,,,
