id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/9873bf80-df7e-41ac-9d8a-0ed4c33120be,Adam Morfeld,Nonpartisan,46,legislature,Adam,Morfeld,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist46.jpg,http://news.legislature.ne.gov/dist46,http://news.legislature.ne.gov/dist46,"Room #1008;P.O. Box 94604;Lincoln, NE 68509",amorfeld@leg.ne.gov,402-471-2720,,,,,,,,,
ocd-person/58cc815e-c631-499a-984b-97466d80d821,Andrew La Grone,Nonpartisan,49,legislature,Andrew,La Grone,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist49.jpg,http://news.legislature.ne.gov/dist49,http://news.legislature.ne.gov/dist49,"Room #1423;P.O. Box 94604;Lincoln, NE 68509",alagrone@leg.ne.gov,402-471-2725,,,,,,,,,
ocd-person/3acb7032-1f3a-4087-a2cd-0f3786b9f9c9,Anna Wishart,Nonpartisan,27,legislature,Anna,Wishart,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist27.jpg,http://news.legislature.ne.gov/dist27,http://news.legislature.ne.gov/dist27,"Room #8th Floor;P.O. Box 94604;Lincoln, NE 68509",awishart@leg.ne.gov,402-471-2632,,,,,,,,,
ocd-person/bfc9dd37-6a7b-4ea2-acf5-c8e161a27764,Ben Hansen,Nonpartisan,16,legislature,Ben,Hansen,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist16.jpg,http://news.legislature.ne.gov/dist16,http://news.legislature.ne.gov/dist16,"Room #1022;P.O. Box 94604;Lincoln, NE 68509",bhansen@leg.ne.gov,402-471-2728,,,,,,,,,
ocd-person/cd3cf273-2f34-489b-bbe8-cbc416d312cc,Brett Lindstrom,Nonpartisan,18,legislature,Brett,Lindstrom,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist18.jpg,http://news.legislature.ne.gov/dist18,http://news.legislature.ne.gov/dist18,"Room #1401;P.O. Box 94604;Lincoln, NE 68509",blindstrom@leg.ne.gov,402-471-2618,,,,,,,,,
ocd-person/53e9667b-b61b-4ca5-a3e0-a30282382851,Bruce Bostelman,Nonpartisan,23,legislature,Bruce,Bostelman,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist23.jpg,http://news.legislature.ne.gov/dist23,http://news.legislature.ne.gov/dist23,"Room #8th Floor;P.O. Box 94604;Lincoln, NE 68509",bbostelman@leg.ne.gov,402-471-2719,,,,,,,,,
ocd-person/adde7784-4e40-4bd5-892d-f45189ad8962,Carol Blood,Nonpartisan,3,legislature,Carol,Blood,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist 3.jpg,http://news.legislature.ne.gov/dist03,http://news.legislature.ne.gov/dist03,"Room #1021;P.O. Box 94604;Lincoln, NE 68509",cblood@leg.ne.gov,402-471-2627,,,,,,,,,
ocd-person/9ad25ac2-b727-4890-9447-8e5c567c4e07,Curt Friesen,Nonpartisan,34,legislature,Curt,Friesen,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist34.jpg,http://news.legislature.ne.gov/dist34,http://news.legislature.ne.gov/dist34,"Room #1308;P.O. Box 94604;Lincoln, NE 68509",cfriesen@leg.ne.gov,402-471-2630,,,,,,,,,
ocd-person/739a537b-a94d-4147-a1fa-c3f3df959282,Dan Hughes,Nonpartisan,44,legislature,Dan,Hughes,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist44.jpg,http://news.legislature.ne.gov/dist44,http://news.legislature.ne.gov/dist44,"Room #1210;P.O. Box 94604;Lincoln, NE 68509",dhughes@leg.ne.gov,402-471-2805,,,,,,,,,
ocd-person/d3b8ad26-4cf1-4abf-ae4e-0f7a65f92fe6,Dan Quick,Nonpartisan,35,legislature,Dan,Quick,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist35.jpg,http://news.legislature.ne.gov/dist35,http://news.legislature.ne.gov/dist35,"Room #1406;P.O. Box 94604;Lincoln, NE 68509",dquick@leg.ne.gov,402-471-2617,,,,,,,,,
ocd-person/25c29fce-5de4-46cd-97f0-887033d446ce,Dave Murman,Nonpartisan,38,legislature,Dave,Murman,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist38.jpg,http://news.legislature.ne.gov/dist38,http://news.legislature.ne.gov/dist38,"Room #12th Floor;P.O. Box 94604;Lincoln, NE 68509",dmurman@leg.ne.gov,402-471-2732,,,,,,,,,
ocd-person/966a4ba2-c74a-4e78-975b-cdd509bdf452,Ernie Chambers,Nonpartisan,11,legislature,Ernie,Chambers,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist11.jpg,http://news.legislature.ne.gov/dist11,http://news.legislature.ne.gov/dist11,"Room #1302;P.O. Box 94604;Lincoln, NE 68509",,402-471-2612,,,,,,,,,
ocd-person/97ca6882-e62b-421a-ab3e-b2e5f112fc72,Jim Scheer,Nonpartisan,19,legislature,Jim,Scheer,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist19.jpg,http://news.legislature.ne.gov/dist19,http://news.legislature.ne.gov/dist19,"Room #2010;P.O. Box 94604;Lincoln, NE 68509",jscheer@leg.ne.gov,402-471-2929,,,,,,,,,
ocd-person/f5d27385-af4c-4c08-8654-3e27ef120d94,John Arch,Nonpartisan,14,legislature,John,Arch,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist14.jpg,http://news.legislature.ne.gov/dist14,http://news.legislature.ne.gov/dist14,"Room #1305;P.O. Box 94604;Lincoln, NE 68509",sarch@leg.ne.gov,402-471-2730,,,,,,,,,
ocd-person/b68e46b2-ab04-4e52-8269-be6f9b5cf134,John Lowe,Nonpartisan,37,legislature,John,Lowe,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist37.jpg,http://news.legislature.ne.gov/dist37,http://news.legislature.ne.gov/dist37,"Room #12th Floor;P.O. Box 94604;Lincoln, NE 68509",jlowe@leg.ne.gov,402-471-2726,,,,,,,,,
ocd-person/d1bc7ffe-45ef-4132-8fc4-48529c08f9e7,John McCollister,Nonpartisan,20,legislature,John,McCollister,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist20.jpg,http://news.legislature.ne.gov/dist20,http://news.legislature.ne.gov/dist20,"Room #11th Floor;P.O. Box 94604;Lincoln, NE 68509",jmccollister@leg.ne.gov,402-471-2622,,,,,,,,,
ocd-person/53f7b221-8167-4f40-b7cd-38e2cd44c5f4,John Stinner,Nonpartisan,48,legislature,John,Stinner,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist48.jpg,http://news.legislature.ne.gov/dist48,http://news.legislature.ne.gov/dist48,"Room #1004;P.O. Box 94604;Lincoln, NE 68509",jstinner@leg.ne.gov,402-471-2802,,,,,,,,,
ocd-person/06ad0015-2e29-435a-b13c-170181bab0d8,Joni Albrecht,Nonpartisan,17,legislature,Joni,Albrecht,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist17.jpg,http://news.legislature.ne.gov/dist17,http://news.legislature.ne.gov/dist17,"Room #2011;P.O. Box 94604;Lincoln, NE 68509",jalbrecht@leg.ne.gov,402-471-2716,,,,,,,,,
ocd-person/695496e5-c9c9-4337-9891-ae31f21fdd06,Julie Slama,Nonpartisan,1,legislature,Julie,Slama,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist 1.jpg,http://news.legislature.ne.gov/dist01,http://news.legislature.ne.gov/dist01,"Room #2000;P.O. Box 94604;Lincoln, NE 68509",jslama@leg.ne.gov,402-471-2733,,,,,,,,,
ocd-person/59757a4e-8be9-4282-a753-91fe7ab665bd,Justin Wayne,Nonpartisan,13,legislature,Justin,Wayne,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist13.jpg,http://news.legislature.ne.gov/dist13,http://news.legislature.ne.gov/dist13,"Room #1212;P.O. Box 94604;Lincoln, NE 68509",jwayne@leg.ne.gov,402-471-2727,,,,,,,,,
ocd-person/df004538-9ef7-45a1-84da-8efd78fa96a8,Kate Bolz,Nonpartisan,29,legislature,Kate,Bolz,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist29.jpg,http://news.legislature.ne.gov/dist29,http://news.legislature.ne.gov/dist29,"Room #1015;P.O. Box 94604;Lincoln, NE 68509",kbolz@leg.ne.gov,402-471-2734,,,,,,,,,
ocd-person/c2eb46a6-7524-41e6-a5c3-31e364a23183,Lou Ann Linehan,Nonpartisan,39,legislature,Lou Ann,Linehan,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist39.jpg,http://news.legislature.ne.gov/dist39,http://news.legislature.ne.gov/dist39,"Room #11th Floor;P.O. Box 94604;Lincoln, NE 68509",llinehan@leg.ne.gov,402-471-2885,,,,,,,,,
ocd-person/c5b78494-5d8f-4ef6-b83e-cf00d2604b3e,Lynne Walz,Nonpartisan,15,legislature,Lynne,Walz,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist15.jpg,http://news.legislature.ne.gov/dist15,http://news.legislature.ne.gov/dist15,"Room #1403;P.O. Box 94604;Lincoln, NE 68509",lwalz@leg.ne.gov,402-471-2625,,,,,,,,,
ocd-person/fd6e1947-c274-4ff5-b2ee-5e5a79d6a729,Machaela Cavanaugh,Nonpartisan,6,legislature,Machaela,Cavanaugh,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist 6.jpg,http://news.legislature.ne.gov/dist06,http://news.legislature.ne.gov/dist06,"Room #12th Floor;P.O. Box 94604;Lincoln, NE 68509",mcavanaugh@leg.ne.gov,402-471-2714,,,,,,,,,
ocd-person/3f74a814-1ac6-4919-940f-944c81104228,Mark Kolterman,Nonpartisan,24,legislature,Mark,Kolterman,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist24.jpg,http://news.legislature.ne.gov/dist24,http://news.legislature.ne.gov/dist24,"Room #2004;P.O. Box 94604;Lincoln, NE 68509",mkolterman@leg.ne.gov,402-471-2756,,,,,,,,,
ocd-person/b48fe3f4-0d9c-4a70-9a91-f47130a8aef4,Matt Hansen,Nonpartisan,26,legislature,Matt,Hansen,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist26.jpg,http://news.legislature.ne.gov/dist26,http://news.legislature.ne.gov/dist26,"Room #1017;P.O. Box 94604;Lincoln, NE 68509",mhansen@leg.ne.gov,402-471-2610,,,,,,,,,
ocd-person/722ce6e5-9834-4fe8-a64c-439132ee5745,Matt Williams,Nonpartisan,36,legislature,Matt,Williams,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist36.jpg,http://news.legislature.ne.gov/dist36,http://news.legislature.ne.gov/dist36,"Room #2015;P.O. Box 94604;Lincoln, NE 68509",mwilliams@leg.ne.gov,402-471-2642,,,,,,,,,
ocd-person/1b988941-ec1a-4f87-b17a-51fb0309dea0,Megan Hunt,Nonpartisan,8,legislature,Megan,Hunt,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist 8.jpg,http://news.legislature.ne.gov/dist08,http://news.legislature.ne.gov/dist08,"Room #12th Floor;P.O. Box 94604;Lincoln, NE 68509",mhunt@leg.ne.gov,402-471-2722,,,,,,,,,
ocd-person/a95c5732-3a3c-46d6-9f50-a161f50f5c52,Mike Groene,Nonpartisan,42,legislature,Mike,Groene,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist42.jpg,http://news.legislature.ne.gov/dist42,http://news.legislature.ne.gov/dist42,"Room #1306;P.O. Box 94604;Lincoln, NE 68509",mgroene@leg.ne.gov,402-471-2729,,,,,,,,,
