id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/19c22134-0632-4b9a-ac8e-64288ea9c1ba,Abel Herrero,Democratic,34,lower,Abel,Herrero,,,,,https://house.texas.gov/photos/members/3140.jpg,https://house.texas.gov/members/member-page/?district=34,https://house.texas.gov/members/member-page/?district=34,"Room 4S.6;P.O. Box 2910;Austin, TX 78768",,512-463-0462,512-463-1705,"606 N. Carancahua Suite 103A;Corpus Christi, TX 78401",,361-884-2277,361-884-6706,,,,
ocd-person/957c21d3-801a-45ee-b3ef-ee1e70624306,Alex Dominguez,Democratic,37,lower,Alex,Dominguez,,,,,https://house.texas.gov/photos/members/3745.jpg,https://house.texas.gov/members/member-page/?district=37,https://house.texas.gov/members/member-page/?district=37,"Room E1.418;P.O. Box 2910;Austin, TX 78768",,512-463-0640,512-463-8186,,,,,,,,
ocd-person/2fd6fcd3-9676-42a4-b879-e317576ff18f,Alma A. Allen,Democratic,131,lower,Alma,Allen,,,,,https://house.texas.gov/photos/members/2100.jpg,https://house.texas.gov/members/member-page/?district=131,https://house.texas.gov/members/member-page/?district=131,"Room GW.5;P.O. Box 2910;Austin, TX 78768",,512-463-0744,512-463-0761,"10101 Fondren Road, Suite 500;Houston, TX 77096",,713-776-0505,713-776-1490,,,,
ocd-person/4f98520b-d88b-4053-acc5-3cb2fff14660,Ana Hernandez,Democratic,143,lower,Ana,Hernandez,,,,,https://house.texas.gov/photos/members/3155.jpg,https://house.texas.gov/members/member-page/?district=143,https://house.texas.gov/members/member-page/?district=143,"Room 4S.3;P.O. Box 2910;Austin, TX 78768",,512-463-0614,512-463-0612,"1233 Mercury Drive;Houston, TX 77029",,713-675-8596,713-675-8599,,,,
ocd-person/7f893a20-0547-4ad9-9a94-1084a9ef6469,Ana-Maria Ramos,Democratic,102,lower,Ana-Maria,Ramos,,,,,https://house.texas.gov/photos/members/3735.jpg,https://house.texas.gov/members/member-page/?district=102,https://house.texas.gov/members/member-page/?district=102,"Room E2.316;P.O. Box 2910;Austin, TX 78768",,512-463-0454,512-463-1121,,,,,,,,
ocd-person/2f826108-f4d8-4af1-99c8-c0a335fb9c0a,Andrew Murr,Republican,53,lower,Andrew,Murr,,,,,https://house.texas.gov/photos/members/2965.jpg,https://house.texas.gov/members/member-page/?district=53,https://house.texas.gov/members/member-page/?district=53,"Room E1.306;P.O. Box 2910;Austin, TX 78768",,512-463-0536,512-463-1449,"715 Water Street;Kerrville, TX 78028",,830-257-0432,,,,,
ocd-person/895887ba-73cd-4321-827d-bb06d4eedfdf,Angela Paxton,Republican,8,upper,Angela,Paxton,,,,,,https://senate.texas.gov/member.php?d=8,https://senate.texas.gov/directory.php;https://senate.texas.gov/member.php?d=8,"The Honorable Angela Paxton;P.O. Box 12068;Capitol Station;Austin, TX 78711",,512-463-0108,,,,,,,,,
ocd-person/2a9478ef-b573-4de6-ab96-bb3f6091346f,Angie Chen Button,Republican,112,lower,Angie,Button,,,,,https://house.texas.gov/photos/members/2510.jpg,https://house.texas.gov/members/member-page/?district=112,https://house.texas.gov/members/member-page/?district=112,"Room GW.8;P.O. Box 2910;Austin, TX 78768",,512-463-0486,,"1201 International Parkway #130;Richardson, TX 75081",,972-234-8980,972-470-0789,,,,
ocd-person/e2d786e9-5e46-4807-be42-546203016996,"Armando ""Mando"" Martinez",Democratic,39,lower,Armando,Martinez,,,,,https://house.texas.gov/photos/members/3780.jpg,https://house.texas.gov/members/member-page/?district=39,https://house.texas.gov/members/member-page/?district=39,"Room 4N.4;P.O. Box 2910;Austin, TX 78768",,512-463-0530,512-463-0849,"914 W. Pike Blvd.,;Weslaco, TX 78596",,956-447-9473,956-447-8683,,,,
ocd-person/3caafbc8-6561-4bf8-8247-aaf398573ba8,Armando Walle,Democratic,140,lower,Armando,Walle,,,,,https://house.texas.gov/photos/members/4930.jpg,https://house.texas.gov/members/member-page/?district=140,https://house.texas.gov/members/member-page/?district=140,"Room GW.18;P.O. Box 2910;Austin, TX 78768",,512-463-0924,512-463-1510,"150 West Parker Road, Suite 700;Houston, TX 77076",,713-694-8620,713-694-8613,,,,
