id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/e29b4799-9c94-4639-93a4-a51c32091f7b,A. Nino Vitale,Republican,85,lower,Nino,Vitale,,"State Representative Nino Vitale is serving his third term in the Ohio House. He represents the 85th District, which is comprised of Champaign County and portions of Logan and Shelby counties.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/85.jpg,http://www.ohiohouse.gov/a-nino-vitale,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;12th Floor;Columbus, OH 43215",rep85@ohiohouse.gov,614-466-1507,614-719-3978,,,,,,,,
ocd-person/d9437df7-3071-434b-b64f-46a5e15e7578,Adam C. Miller,Democratic,17,lower,Adam,Miller,,"Adam Miller, a practicing attorney specializing in representing school districts, educational service centers and statewide educational associations, proudly serves constituents of Ohio's 17th House District. ",,,http://www.ohiohouse.gov/Assets/Headshots/Small/17.jpg,http://www.ohiohouse.gov/adam-c-miller,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep17@ohiohouse.gov,614-644-6005,614-719-6963,,,,,,,,
ocd-person/78912d95-3dac-4487-810a-74be41508ebb,Adam Holmes,Republican,97,lower,Adam,Holmes,,,,,http://www.ohiohouse.gov/Assets/Headshots/Small/97.jpg,http://www.ohiohouse.gov/adam-holmes,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;11th Floor;Columbus, OH 43215",rep97@ohiohouse.gov,614-644-6014,614-719-6994,,,,,,,,
ocd-person/c61c8eaf-1de9-419d-a5dc-c96787315578,Andrew O. Brenner,Republican,19,upper,Andrew,Brenner,,,,,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/2918.jpg,http://www.ohiosenate.gov/senators/brenner,http://www.ohiosenate.gov/senators,Senate Building;1 Capitol Square;Ground Floor,sd19@ohiosenate.gov,614-466-8086,,,,,,,,,
ocd-person/9f38c554-7a81-4302-a281-d6efb1318916,Anthony DeVitis,Republican,36,lower,Anthony,DeVitis,,"State Representative Anthony DeVitis is currently serving his fourth term in the Ohio House of Representatives, having been appointed to the House in 2011. He represents the 36th House District, which includes portions of southern Summit County.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/36.jpg,http://www.ohiohouse.gov/anthony-devitis,http://www.ohiohouse.gov/members/member-directory,"Assistant Majority Floor Leader;77 S. High St;11th Floor;Columbus, OH 43215",rep36@ohiohouse.gov,614-466-1790,614-719-6943,,,,,,,,
ocd-person/10c8e9e5-989a-47bd-a7e0-3a9e7f3d28f4,Bernadine Kennedy Kent,Democratic,25,lower,Bernadine,Kent,,"Rep. Kent was born and raised in East Chicago, Indiana, a steel mill union city. Her parents, like many African Americans of the time, migrated from the South for better opportunities in the North. Her father could not read or write. Her mother went to the third grade, and yet, they bought a home and raised five children. All children graduated from high school and two went on to graduate from Central State University. Rep. Kent’s husband, whose own father was a Tuskegee Airman, served his country as a Green Beret in Vietnam. ",,,http://www.ohiohouse.gov/Assets/Headshots/Small/25.jpg,http://www.ohiohouse.gov/bernadine-kennedy-kent,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep25@ohiohouse.gov,614-466-5343,614-719-3581,,,,,,,,
ocd-person/2d01ff0c-25a8-49a2-b571-ab3a7866fcf2,Beth Liston,Democratic,21,lower,Beth,Liston,,"A passionate advocate for affordable, high quality healthcare, State Representative Beth Liston ran for office to bring her knowledge about health and the health impacts of policy to our state government.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/21.jpg,http://www.ohiohouse.gov/beth-liston,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep21@ohiohouse.gov,614-644-6030,614-719-6960,,,,,,,,
ocd-person/b9200c63-1930-48f6-b870-b15a378a4c0a,Bill Dean,Republican,74,lower,Bill,Dean,,"State Representative Bill Dean is serving his second term in the Ohio House of Representatives. He represents the 74th district, encompassing all of Madison County, as well as northeastern Clark and eastern Greene counties.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/74.jpg,http://www.ohiohouse.gov/bill-dean,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;12th Floor;Columbus, OH 43215",rep74@ohiohouse.gov,614-466-1470,614-719-0010,,,,,,,,
ocd-person/c07cbd24-eaa2-41b8-b3c0-5231dbe2cdf4,Bill Reineke,Republican,88,lower,Bill,Reineke,,"Representative Bill Reineke is currently serving his third term as state representative for the 88th Ohio House District, which includes all of Sandusky County and most of Seneca County.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/88.jpg,http://www.ohiohouse.gov/bill-reineke,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;14th Floor;Columbus, OH 43215",rep88@ohiohouse.gov,614-466-1374,614-719-6981,,,,,,,,
ocd-person/4cece9f3-e252-438b-8255-a2150a4ed599,Bill Roemer,Republican,38,lower,Bill,Roemer,,,,,http://www.ohiohouse.gov/Assets/Headshots/Small/38.jpg,http://www.ohiohouse.gov/bill-roemer,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;11th Floor;Columbus, OH 43215",rep38@ohiohouse.gov,614-644-5085,614-719-6941,,,,,,,,
ocd-person/899dde54-f8bf-4579-bbf8-dfb63f298c0c,Bill Seitz,Republican,30,lower,Bill,Seitz,,"A lifelong resident of Western Hamilton County, State Representative Bill Seitz has worked to represent the best interests of the Greater Cincinnati area at the Statehouse. Known for his colorful floor speeches and legal acumen, in a 2016 ranking of all 132 legislators published by Columbus Monthly Magazine, Seitz was rated best speechmaker, savviest, funniest, and most knowledgeable and was also recognized as second most effective and hardest working. He has put these talents to good use on issues that matter to his constituents.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/30.jpg,http://www.ohiohouse.gov/bill-seitz,http://www.ohiohouse.gov/members/member-directory,"Majority Floor Leader;77 S. High St;14th Floor;Columbus, OH 43215",rep30@ohiohouse.gov,614-466-8258,614-719-3584,,,,,,,,
ocd-person/59a0776d-2fef-4ee5-8d80-9c4095e43d86,Bob D. Hackett,Republican,10,upper,Bob,Hackett,,,,,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/2836.jpg,http://www.ohiosenate.gov/senators/hackett,http://www.ohiosenate.gov/senators,Senate Building;1 Capitol Square;1st Floor,sd10@ohiosenate.gov,614-466-3780,,,,,,,,,
ocd-person/cdc9f705-514e-4445-ac17-9aeac8f67e97,Bob Peterson,Republican,17,upper,Bob,Peterson,,,,,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/2062.jpg,http://www.ohiosenate.gov/senators/peterson,http://www.ohiosenate.gov/senators,Senate Building;1 Capitol Square;1st Floor,sd17@ohiosenate.gov,614-466-8156,,,,,,,,,
ocd-person/6c432400-72bd-42d9-ade1-8aefd99fe993,Brett Hudson Hillyer,Republican,98,lower,Brett,Hillyer,,"State Representative Brett Hillyer is serving his first term in the Ohio House of Representatives. He represents the 98th District, which includes Tuscarawas County and part of Holmes County.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/98.jpg,http://www.ohiohouse.gov/brett-hudson-hillyer,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;11th Floor;Columbus, OH 43215",rep98@ohiohouse.gov,614-466-8035,614-719-6996,,,,,,,,
ocd-person/34e87b72-6224-427e-9f6e-9b6ea9d04c4c,Brian Baldridge,Republican,90,lower,Brian,Baldridge,,"State Representative Brian Baldridge is serving his first term in the Ohio House of Representatives. He represents the 90th District, which includes all of Scioto and Adams counties, as well as part of Lawrence County.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/90.jpg,http://www.ohiohouse.gov/brian-baldridge,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;13th Floor;Columbus, OH 43215",rep90@ohiohouse.gov,614-466-2124,614-719-6989,,,,,,,,
ocd-person/776b0fb2-b54d-4953-b1a8-8bff1ba9f79f,Brian Hill,Republican,20,upper,Brian,Hill,,,,,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/2880.jpg,http://www.ohiosenate.gov/senators/hill,http://www.ohiosenate.gov/senators,Senate Building;1 Capitol Square;1st Floor,sd20@ohiosenate.gov,614-466-8076,,,,,,,,,
ocd-person/2481dfc7-d260-49c6-9461-9e6048ed27a2,Bride Rose Sweeney,Democratic,14,lower,Bride,Sweeney,,"Bride Rose Sweeney is a lifelong Cleveland-native and graduate of John Carroll University, where she studied political science, business, and leadership.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/14.jpg,http://www.ohiohouse.gov/bride-rose-sweeney,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep14@ohiohouse.gov,614-466-3350,614-719-3910,,,,,,,,
ocd-person/1b304c47-6447-401e-af61-064ded790e76,Brigid Kelly,Democratic,31,lower,Brigid,Kelly,,"Born and raised in Norwood, Rep. Brigid Kelly learned early on the importance of a strong community. ",,,http://www.ohiohouse.gov/Assets/Headshots/Small/31.jpg,http://www.ohiohouse.gov/brigid-kelly,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;14th Floor;Columbus, OH 43215",rep31@ohiohouse.gov,614-466-5786,614-719-3585,,,,,,,,
ocd-person/c58b6767-730d-4486-a08e-462ea3af3bfe,C. Allison Russo,Democratic,24,lower,Allison,Russo,,"Rep. Allison Russo has spent two decades advising leaders and policymakers on issues related to the healthcare financing and care delivery needs of seniors, vulnerable populations, veterans, and military families. Rep. Russo is a lifelong advocate for women and families, championing issues like strong public education, affordable and accessible healthcare, and economic strategies that sustain 21",,,http://www.ohiohouse.gov/Assets/Headshots/Small/24.jpg,http://www.ohiohouse.gov/c-allison-russo,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep24@ohiohouse.gov,614-466-8012,614-719-0007,,,,,,,,
ocd-person/acd95bac-3e80-45d2-a5f7-bd7eab5fd8b8,Candice Keller,Republican,53,lower,Candice,Keller,,"State Representative Candice Keller is currently serving her second full term in the Ohio House after being appointed in 2016. She represents the 53rd House District, which is made up of Butler County.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/53.jpg,http://www.ohiohouse.gov/candice-keller,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;12th Floor;Columbus, OH 43215",rep53@ohiohouse.gov,614-644-5094,614-719-6953,,,,,,,,
ocd-person/d7949531-f267-4e99-9611-87b3ec3e04ac,Casey Weinstein,Democratic,37,lower,Casey,Weinstein,,"In Casey’s family, public service is a way of life. His grandfather, father, brother, brother-in-law, and wife Amanda all served or are serving in the armed forces. He has always strived to actively engage in his community. In Dayton, he was recognized as a ‘Top 40 Under 40’ Community Leader and has been more recently recognized as one of ’30 for the Future’ by the Greater Akron Chamber of Commerce. In 2015 he was elected to serve on Hudson City Council, where he worked every day to make a positive impact for his constituents.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/37.jpg,http://www.ohiohouse.gov/casey-weinstein,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep37@ohiohouse.gov,614-466-1177,614-719-6942,,,,,,,,
ocd-person/94ba65dd-57c5-4ab0-b607-5e310d50cae0,Catherine D. Ingram,Democratic,32,lower,Catherine,Ingram,,"As a public servant, university instructor, realtor, neighborhood leader, mom and grandmother, Catherine Ingram knows how much the decisions made in Columbus personally impact all of us.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/32.jpg,http://www.ohiohouse.gov/catherine-d-ingram,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep32@ohiohouse.gov,614-466-1645,614-719-3586,,,,,,,,
ocd-person/5ba7ae7d-2f10-42b7-8784-8e734507ce33,Cecil Thomas,Democratic,9,upper,Cecil,Thomas,,,,,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/2801.jpg,http://www.ohiosenate.gov/senators/thomas,http://www.ohiosenate.gov/senators,Senate Building;1 Capitol Square;2nd Floor,sd09@ohiosenate.gov,614-466-5980,,,,,,,,,
ocd-person/ce20bc95-5ed9-4465-ae6d-790ffe78b3d3,Craig S. Riedel,Republican,82,lower,Craig,Riedel,,Representative Craig S. Riedel is currently serving his second term as state representative to the 82,,,http://www.ohiohouse.gov/Assets/Headshots/Small/82.jpg,http://www.ohiohouse.gov/craig-s-riedel,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;11th Floor;Columbus, OH 43215",rep82@ohiohouse.gov,614-644-5091,614-719-3974,,,,,,,,
ocd-person/92de07aa-a6c7-4c4b-ada7-02ebbe4a17f6,Darrell Kick,Republican,70,lower,Darrell,Kick,,"State Representative Darrell Kick is serving his second term in the Ohio House. He represents the 70th District, which includes all of Ashland County and portions of Holmes and Medina counties.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/70.jpg,http://www.ohiohouse.gov/darrell-kick,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;13th Floor;Columbus, OH 43215",rep70@ohiohouse.gov,614-466-2994,614-719-6997,,,,,,,,
ocd-person/437c449c-402a-40f7-9dc2-2fafc3d9555a,Dave Burke,Republican,26,upper,Dave,Burke,,,,,http://www.ohiosenate.gov/Assets/Members/Headshots/Medium/1823.jpg,http://www.ohiosenate.gov/senators/burke,http://www.ohiosenate.gov/senators,Senate Building;1 Capitol Square;Ground Floor,sd26@ohiosenate.gov,614-466-8049,,,,,,,,,
ocd-person/2d8ceb88-cc59-479c-ac14-52f1c378dec8,Dave Greenspan,Republican,16,lower,Dave,Greenspan,,"Representative Dave Greenspan is serving his second term in the Ohio House of Representatives. He represents the 16th Ohio House District, which includes the cities of Bay Village, Fairview Park, North Olmsted, Rocky River, and Westlake.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/16.jpg,http://www.ohiohouse.gov/dave-greenspan,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;13th Floor;Columbus, OH 43215",rep16@ohiohouse.gov,614-466-0961,614-719-3998,,,,,,,,
ocd-person/bdeef1ff-72ee-43d3-9b35-ceb04727d101,David Leland,Democratic,22,lower,David,Leland,,"Always committed to making the north Columbus community a better place to live and work, State Representative David Leland has lived in the 22nd Ohio House District for more than 48 years. During this time, he has volunteered with many organizations, such as the Clintonville-Beechwold Community Resources Center, Friends of the Library, and the Clintonville 4th of July Celebration. His commitment to community service was recognized by the OSU Alumni Association with its Citizenship Award.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/22.jpg,http://www.ohiohouse.gov/david-leland,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;10th Floor;Columbus, OH 43215",rep22@ohiohouse.gov,614-466-2473,614-719-6961,,,,,,,,
ocd-person/3cc09045-f832-464a-8873-3c5775456670,Derek Merrin,Republican,47,lower,Derek,Merrin,,"State Representative Derek Merrin is currently serving his second term in the Ohio House after being appointed in 2016. He represents the 47th district, which includes portions of Fulton and Lucas counties.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/47.jpg,http://www.ohiohouse.gov/derek-merrin,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;13th Floor;Columbus, OH 43215",rep47@ohiohouse.gov,614-466-1731,614-719-6946,,,,,,,,
ocd-person/0e7997cd-9c4b-4f28-8ed5-1f9bda887e07,Dick Stein,Republican,57,lower,Dick,Stein,,"Dick Stein is currently serving his second term as state representative. He represents the 57th Ohio House District, which includes all of Huron County and portions of Lorain County.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/57.jpg,http://www.ohiohouse.gov/dick-stein,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;11th Floor;Columbus, OH 43215",rep57@ohiohouse.gov,614-466-9628,614-719-3958,,,,,,,,
ocd-person/22d5a5b7-e1f4-4988-8242-eefd7468cc81,Don Jones,Republican,95,lower,Don,Jones,,,,,http://www.ohiohouse.gov/Assets/Headshots/Small/95.jpg,http://www.ohiohouse.gov/don-jones,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;11th Floor;Columbus, OH 43215",rep95@ohiohouse.gov,614-644-8728,614-719-6993,,,,,,,,
ocd-person/4e41319c-a701-45a6-9449-b3e4550832bf,Don Manning,Republican,59,lower,Don,Manning,,"State Representative Don Manning is serving his first term in the Ohio House of Representatives. He represents the 59th District, which includes most of Mahoning County.",,,http://www.ohiohouse.gov/Assets/Headshots/Small/59.jpg,http://www.ohiohouse.gov/don-manning,http://www.ohiohouse.gov/members/member-directory,"77 S. High St;11th Floor;Columbus, OH 43215",rep59@ohiohouse.gov,614-466-6107,614-719-3959,,,,,,,,
