id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/5097a158-3123-451f-8280-c689e4aeb4ea,Aaron Clausen,Republican,6,lower,Aaron,Clausen,,,1977-05-30,,http://wyoleg.gov/LegislatorSummary/Photos/ClausenRH06.jpg,http://wyoleg.gov/Legislators/2019/R/2033,http://wyoleg.gov/Legislators/2019/R/2033,,,,,,,,,,,,
ocd-person/e45f8a3f-31ff-41af-8865-78dee30a7987,Affie Ellis,Republican,8,upper,Affie,Ellis,,,1978-05-28,,http://wyoleg.gov/LegislatorSummary/Photos/EllisAS08.jpg,http://wyoleg.gov/Legislators/2019/R/2031,http://wyoleg.gov/Legislators/2019/R/2031,,,,,,,,,,,,
ocd-person/a0478325-589a-465b-af7d-1b255fd250c7,Albert Sommers,Republican,20,lower,Albert,Sommers,,,1959-05-27,,http://wyoleg.gov/LegislatorSummary/Photos/SommersH20.jpg,http://wyoleg.gov/Legislators/2019/R/1991,http://wyoleg.gov/Legislators/2019/R/1991,,,,,,,,,,,,
ocd-person/46f6b87c-a5dd-4a66-94a7-6b71e274d0c7,Andi Clifford,Democratic,33,lower,Andi,Clifford,,,1972-07-19,,http://wyoleg.gov/LegislatorSummary/Photos/nophoto.jpg,http://wyoleg.gov/Legislators/2019/D/2057,http://wyoleg.gov/Legislators/2019/D/2057,,,,,,,,,,,,
ocd-person/2bd99805-09dc-4b8e-82e6-4ed2def32b0e,Andy Schwartz,Democratic,23,lower,Andy,Schwartz,,,1950-09-26,,http://wyoleg.gov/LegislatorSummary/Photos/schwartzaH23.jpg,http://wyoleg.gov/Legislators/2019/D/2012,http://wyoleg.gov/Legislators/2019/D/2012,,,,,,,,,,,,
ocd-person/35a75333-f3ab-4460-96fd-33c8e17813ea,Anthony Bouchard,Republican,6,upper,Anthony,Bouchard,,,1965-08-19,,http://wyoleg.gov/LegislatorSummary/Photos/BouchardAS06.jpg,http://wyoleg.gov/Legislators/2019/R/2030,http://wyoleg.gov/Legislators/2019/R/2030,,,,,,,,,,,,
ocd-person/394ba273-63d7-409d-90cd-5d183e750ea4,Art Washut,Republican,36,lower,Art,Washut,,,1957-10-14,,http://wyoleg.gov/LegislatorSummary/Photos/nophoto.jpg,http://wyoleg.gov/Legislators/2019/R/2058,http://wyoleg.gov/Legislators/2019/R/2058,,,,,,,,,,,,
ocd-person/682ed6eb-b1cd-4fd3-9d9d-c2e64e10cc6e,Bill Haley,Republican,46,lower,Bill,Haley,,,1951-04-30,,http://wyoleg.gov/LegislatorSummary/Photos/HaleyWH46.jpg,http://wyoleg.gov/Legislators/2019/R/2043,http://wyoleg.gov/Legislators/2019/R/2043,,,,,,,,,,,,
ocd-person/c8560c84-4f07-42f1-b6c0-40ab7df52f33,Bill Henderson,Republican,41,lower,Bill,Henderson,,,1948-11-28,,http://wyoleg.gov/LegislatorSummary/Photos/HendersonWH41.jpg,http://wyoleg.gov/Legislators/2019/R/2042,http://wyoleg.gov/Legislators/2019/R/2042,,,,,,,,,,,,
ocd-person/e0c25487-a7fb-406b-b637-c3a4de3c6770,Bill Landen,Republican,27,upper,Bill,Landen,,,1956-02-21,,http://wyoleg.gov/LegislatorSummary/Photos/LandenBS27.jpg,http://wyoleg.gov/Legislators/2019/R/434,http://wyoleg.gov/Legislators/2019/R/434,,,,,,,,,,,,
