id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/b5e2b0b8-ae2a-4852-9c40-c9bf4a32fe1a,Aaron Freeman,Republican,32,upper,Aaron,Freeman,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_aaron_freeman_1,http://iga.in.gov/legislative/2019/legislators/legislator_aaron_freeman_1,http://iga.in.gov/legislative/2019/legislators/legislator_aaron_freeman_1;https://api.iga.in.gov/2019/legislators/aaron_freeman_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9467,,,,,,,,,
ocd-person/3e2f70f5-2f3a-425f-99ed-c7277eb2f13c,Alan Morrison,Republican,42,lower,Alan,Morrison,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_alan_morrison_1115,http://iga.in.gov/legislative/2019/legislators/legislator_alan_morrison_1115,http://iga.in.gov/legislative/2019/legislators/legislator_alan_morrison_1115;https://api.iga.in.gov/2019/legislators/alan_morrison_1115,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9841,,,,,,,,,
ocd-person/85c3a6e4-8292-4e3f-a8f4-475aede6b9d6,Andy Zay,Republican,17,upper,Andy,Zay,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_andy_zay_1,http://iga.in.gov/legislative/2019/legislators/legislator_andy_zay_1,http://iga.in.gov/legislative/2019/legislators/legislator_andy_zay_1;https://api.iga.in.gov/2019/legislators/andy_zay_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9467,,,,,,,,,
ocd-person/487ec8e1-4249-49aa-bc17-742cb10b1794,Anthony Cook,Republican,32,lower,Anthony,Cook,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_anthony_cook_1,http://iga.in.gov/legislative/2019/legislators/legislator_anthony_cook_1,http://iga.in.gov/legislative/2019/legislators/legislator_anthony_cook_1;https://api.iga.in.gov/2019/legislators/anthony_cook_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9841,,,,,,,,,
ocd-person/43b9cb7b-a913-4624-859b-6f28e10d871a,B Patrick Bauer,Democratic,6,lower,B Patrick,Bauer,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_b_patrick_bauer_178,http://iga.in.gov/legislative/2019/legislators/legislator_b_patrick_bauer_178,http://iga.in.gov/legislative/2019/legislators/legislator_b_patrick_bauer_178;https://api.iga.in.gov/2019/legislators/b_patrick_bauer_178,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9842,,,,,,,,,
ocd-person/a8ed53f7-00fb-428b-a629-7532efaf902d,Beau Baird,Republican,44,lower,Beau,Baird,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_beau_baird_1,http://iga.in.gov/legislative/2019/legislators/legislator_beau_baird_1,http://iga.in.gov/legislative/2019/legislators/legislator_beau_baird_1;https://api.iga.in.gov/2019/legislators/beau_baird_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9841,,,,,,,,,
ocd-person/ea2c35cb-7071-43de-8dc6-e91756d03f11,Ben Smaltz,Republican,52,lower,Ben,Smaltz,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_ben_smaltz_1118,http://iga.in.gov/legislative/2019/legislators/legislator_ben_smaltz_1118,http://iga.in.gov/legislative/2019/legislators/legislator_ben_smaltz_1118;https://api.iga.in.gov/2019/legislators/ben_smaltz_1118,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9841,,,,,,,,,
ocd-person/a1002ff1-ffd8-4d82-8db9-3a8295ca5e06,Blake Doriot,Republican,12,upper,Blake,Doriot,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_blake_doriot_1,http://iga.in.gov/legislative/2019/legislators/legislator_blake_doriot_1,http://iga.in.gov/legislative/2019/legislators/legislator_blake_doriot_1;https://api.iga.in.gov/2019/legislators/blake_doriot_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9467,,,,,,,,,
ocd-person/6629fcea-f482-4e63-872d-d2f8734502ca,Brad Barrett,Republican,56,lower,Brad,Barrett,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_bradford_barrett_1,http://iga.in.gov/legislative/2019/legislators/legislator_bradford_barrett_1,http://iga.in.gov/legislative/2019/legislators/legislator_bradford_barrett_1;https://api.iga.in.gov/2019/legislators/bradford_barrett_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9841,,,,,,,,,
ocd-person/a52a0e0d-3abd-4181-bd89-71c79eb36fcb,Brian Bosma,Republican,88,lower,Brian,Bosma,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_brian_bosma_69,http://iga.in.gov/legislative/2019/legislators/legislator_brian_bosma_69,http://iga.in.gov/legislative/2019/legislators/legislator_brian_bosma_69;https://api.iga.in.gov/2019/legislators/brian_bosma_69,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9841,,,,,,,,,
ocd-person/0482a330-c9fb-4f41-b136-88a4aef2de6a,Brian Buchanan,Republican,7,upper,Brian,Buchanan,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_brian_buchanan_1,http://iga.in.gov/legislative/2019/legislators/legislator_brian_buchanan_1,http://iga.in.gov/legislative/2019/legislators/legislator_brian_buchanan_1;https://api.iga.in.gov/2019/legislators/brian_buchanan_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9467,,,,,,,,,
ocd-person/fe83212e-72d8-4d9c-80cb-338c7f318f09,Bruce Borders,Republican,45,lower,Bruce,Borders,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_bruce_borders_1,http://iga.in.gov/legislative/2019/legislators/legislator_bruce_borders_1,http://iga.in.gov/legislative/2019/legislators/legislator_bruce_borders_1;https://api.iga.in.gov/2019/legislators/bruce_borders_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9841,,,,,,,,,
ocd-person/ec6a3cce-3eca-4020-8809-a7a1875e1663,Carey Hamilton,Democratic,87,lower,Carey,Hamilton,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_carey_hamilton_1,http://iga.in.gov/legislative/2019/legislators/legislator_carey_hamilton_1,http://iga.in.gov/legislative/2019/legislators/legislator_carey_hamilton_1;https://api.iga.in.gov/2019/legislators/carey_hamilton_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9842,,,,,,,,,
ocd-person/16ded3c5-7034-4910-b5d1-76efa7b2f02f,Carolyn Jackson,Democratic,1,lower,Carolyn,Jackson,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_carolyn_jackson_1,http://iga.in.gov/legislative/2019/legislators/legislator_carolyn_jackson_1,http://iga.in.gov/legislative/2019/legislators/legislator_carolyn_jackson_1;https://api.iga.in.gov/2019/legislators/carolyn_jackson_1,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9842,,,,,,,,,
ocd-person/17fd494d-905d-4c82-a828-6d975cbf02f3,Charles Moseley,Democratic,10,lower,Charles,Moseley,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_charles_moseley_973,http://iga.in.gov/legislative/2019/legislators/legislator_charles_moseley_973,http://iga.in.gov/legislative/2019/legislators/legislator_charles_moseley_973;https://api.iga.in.gov/2019/legislators/charles_moseley_973,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9842,,,,,,,,,
ocd-person/8db4d04c-3afe-44c1-940b-7761cd035800,Cherrish Pryor,Democratic,94,lower,Cherrish,Pryor,,,,,http://iga.in.gov/legislative/2019/portraits/legislator_cherrish_pryor_990,http://iga.in.gov/legislative/2019/legislators/legislator_cherrish_pryor_990,http://iga.in.gov/legislative/2019/legislators/legislator_cherrish_pryor_990;https://api.iga.in.gov/2019/legislators/cherrish_pryor_990,"200 W. Washington Street;Indianapolis, IN 46204",,800-382-9842,,,,,,,,,
