id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/184a7a1f-940c-4b69-aee6-68f4eec9c84a,Abe Hudson,Democratic,29,lower,Abe,Hudson,,,,,http://billstatus.ls.state.ms.us/members/house/hudson.jpg,http://billstatus.ls.state.ms.us/members/house/hudson.xml,http://billstatus.ls.state.ms.us/members/house/hudson.xml,"P. O. Box 1018;Jackson, MS 39215",ahudson@house.ms.gov,,,"207 Dr. RT Hollingsworth;Shelby, MS 38774",,,,,,,
ocd-person/2295ae6d-30a5-4316-83dd-72f19a5fd421,Adrienne Wooten,Democratic,71,lower,Adrienne,Wooten,,,,,http://billstatus.ls.state.ms.us/members/house/wooten.jpg,http://billstatus.ls.state.ms.us/members/house/wooten.xml,http://billstatus.ls.state.ms.us/members/house/wooten.xml,"Room 400-F;P. O. Box 1018;Jackson, MS 39215",adrienneahooper@yahoo.com,601-359-2433,,"P. O. Box 1617;Ridgeland, MS 39158",,601-502-2444,,,,,
ocd-person/c012fed5-c753-4a01-9c3c-9924d178c24d,Albert Butler,Democratic,36,upper,Albert,Butler,,,,,http://billstatus.ls.state.ms.us/members/senate/butler.jpg,http://billstatus.ls.state.ms.us/members/senate/butler.xml,http://billstatus.ls.state.ms.us/members/senate/butler.xml,"Room 213;P. O. Box 1018;Jackson, MS 39215",abutler@senate.ms.gov,601-359-3232,,"P. O. Box 614;Port Gibson, MS 39150",,601-437-4089,,,,,
ocd-person/c5b5d0c1-fde4-45bf-90d0-daf1bf1820fb,Alyce G. Clarke,Democratic,69,lower,Alyce G.,Clarke,,,,,http://billstatus.ls.state.ms.us/members/house/clarke.jpg,http://billstatus.ls.state.ms.us/members/house/clarke.xml,http://billstatus.ls.state.ms.us/members/house/clarke.xml,"Room 100-C;P. O. Box 1018;Jackson, MS 39215",aclarke@house.ms.gov,601-359-3235,,"1053 Arbor Vista Boulevard;Jackson, MS 39209",,601-354-5453,,,,,
ocd-person/4004cf9a-6d23-4323-b158-00f22078d2b4,Angela Burks Hill,Republican,40,upper,Angela Burks,Hill,,,,,http://billstatus.ls.state.ms.us/members/senate/hill.jpg,http://billstatus.ls.state.ms.us/members/senate/hill.xml,http://billstatus.ls.state.ms.us/members/senate/hill.xml,"Room 408;P. O. Box 1018;Jackson, MS 39215",ahill@senate.ms.gov,601-359-2886,,"54 Watts Rd;Picayune, MS 39466",,,,,,,
ocd-person/83f9f72e-ec2d-4351-a227-d8a6aec18eed,Angela Cockerham,Democratic,96,lower,Angela,Cockerham,,,,,http://billstatus.ls.state.ms.us/members/house/cockerham.jpg,http://billstatus.ls.state.ms.us/members/house/cockerham.xml,http://billstatus.ls.state.ms.us/members/house/cockerham.xml,"Room 201;P. O. Box 1018;Jackson, MS 39215",acockerham@house.ms.gov,601-359-3333,,"Post Office Box 613;Magnolia, MS 39652",,601-783-4979,,,,,
ocd-person/74d0c9b2-58a2-41a7-b2a0-582924a45adf,Angela Turner-Ford,Democratic,16,upper,Angela,Turner-Ford,,,,,http://billstatus.ls.state.ms.us/members/senate/turner-ford.jpg,http://billstatus.ls.state.ms.us/members/senate/turner-ford.xml,http://billstatus.ls.state.ms.us/members/senate/turner-ford.xml,"Room 409;P. O. Box 1018;Jackson, MS 39215",aturner@senate.ms.gov,601-359-3237,,"P. O. Drawer 1500;West Point, MS 39773",,,,,,,
ocd-person/cecf6170-4ff8-451b-ad04-d135cdd9263e,Ashley Henley,Republican,40,lower,Ashley,Henley,,,,,http://billstatus.ls.state.ms.us/members/house/henley.jpg,http://billstatus.ls.state.ms.us/members/house/henley.xml,http://billstatus.ls.state.ms.us/members/house/henley.xml,"Room 400-F;P. O. Box 1018;Jackson, MS 39215",ahenley@house.ms.gov,601-359-2429,,"2128 Brookhaven Drive;Southaven, MS 38671",,,,,,,
ocd-person/3b2b3cb2-3ef8-400d-b395-6b0895ea7631,Barbara Blackmon,Democratic,21,upper,Barbara,Blackmon,,,,,http://billstatus.ls.state.ms.us/members/senate/blackmon.jpg,http://billstatus.ls.state.ms.us/members/senate/blackmon.xml,http://billstatus.ls.state.ms.us/members/senate/blackmon.xml,"Room 213-F;P. O. Box 1018;Jackson, MS 39215",bblackmon@senate.ms.gov,601-359-3237,,,,,,,,,
ocd-person/4b865b47-4811-4437-be08-0f3bf10d461c,Becky Currie,Republican,92,lower,Becky,Currie,,,,,http://billstatus.ls.state.ms.us/members/house/currie.jpg,http://billstatus.ls.state.ms.us/members/house/currie.xml,http://billstatus.ls.state.ms.us/members/house/currie.xml,"Room 401-C;P. O. Box 1018;Jackson, MS 39215",bcurrie@house.ms.gov,601-359-3131,,"407 Oliver Dr;Brookhaven, MS 39601",,601-833-5953,,,,,
