id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/a033ad21-bdb7-4af2-be2e-e21c3e4cfa24,Adrienne Benavidez,Democratic,32,lower,Adrienne,Benavidez,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_rsz_benavidez-co-17.jpg?itok=-SZmC73m,http://leg.colorado.gov/legislators/adrienne-benavidez,http://leg.colorado.gov/legislators/adrienne-benavidez;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 307;Denver, CO 80203",adrienne.benavidez.house@state.co.us,303-866-2964,,,,,,,,,
ocd-person/a50f1be4-1037-4101-b696-7b88199656b4,Alec Garnett,Democratic,2,lower,Alec,Garnett,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_rsz_garnett-co-17.jpg?itok=7MHX36in,http://leg.colorado.gov/legislators/alec-garnett,http://leg.colorado.gov/legislators/alec-garnett;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 307;Denver, CO 80203",alec.garnett.house@state.co.us,303-866-2911,,,,,,,,,
ocd-person/45c957a4-0017-4c0c-8650-393d656fc5a0,Alex Valdez,Democratic,5,lower,,,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_valdez-alex.jpg?itok=t8vlKKa2,http://leg.colorado.gov/legislators/alex-valdez,http://leg.colorado.gov/legislators/alex-valdez;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 307;Denver, CO 80203",alex.valdez.house@state.co.us,303-866-2925,,,,,,,,,
ocd-person/ea80ffed-2e2f-4cb1-90ce-49d083b30b7e,Angela Williams,Democratic,33,upper,Angela,Williams,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_rsz_williamsangela-co-17.jpg?itok=t-N-Bj-S,http://leg.colorado.gov/legislators/angela-williams,http://leg.colorado.gov/legislators/angela-williams;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 346;Denver, CO 80203",angela.williams.senate@state.co.us,303-866-4864,,,,,,,,,
ocd-person/4ee693c2-1cdc-4631-a6e5-b541e7f9c797,Barbara McLachlan,Democratic,59,lower,Barbara,McLachlan,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_rsz_mclachlan-co-17.jpg?itok=ZNt___I2,http://leg.colorado.gov/legislators/barbara-mclachlan,http://leg.colorado.gov/legislators/barbara-mclachlan;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 307;Denver, CO 80203",barbara.mclachlan.house@state.co.us,303-866-2914,,,,,,,,,
ocd-person/167975f6-bf0d-49ea-885c-baea0fc0e4cd,Bob Gardner,Republican,12,upper,Bob,Gardner,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_rsz_gardner-co-17.jpg?itok=3JXhc-vo,http://leg.colorado.gov/legislators/bob-gardner,http://leg.colorado.gov/legislators/bob-gardner;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 346;Denver, CO 80203",bob.gardner.senate@state.co.us,303-866-4880,,,,,,,,,
ocd-person/24072d04-8fb3-43a3-8f33-2881183ba6b4,Bob Rankin,Republican,8,upper,Bob,Rankin,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_rsz_rankin-c-17.jpg?itok=z7tf6FP1,http://leg.colorado.gov/legislators/bob-rankin,http://leg.colorado.gov/legislators/bob-rankin;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 346;Denver, CO 80203",bob.rankin.senate@state.co.us,303-866-5292,,,,,,,,,
ocd-person/1359fcda-b912-4b37-9bfe-10ff37fd72a6,Bri Buentello,Democratic,47,lower,,,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_buentello-bri.jpg?itok=EZaumYcE,http://leg.colorado.gov/legislators/bri-buentello,http://leg.colorado.gov/legislators/bri-buentello;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 307;Denver, CO 80203",bri.buentello.house@state.co.us,303-866-2905,,,,,,,,,
ocd-person/fa9b604d-5981-4de1-97bc-9400e03909c9,Brianna Titone,Democratic,27,lower,,,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_titone-brianna.jpg?itok=MUXaXYWB,http://leg.colorado.gov/legislators/brianna-titone,http://leg.colorado.gov/legislators/brianna-titone;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 307;Denver, CO 80203",brianna.titone.house@state.co.us,303-866-2962,,,,,,,,,
ocd-person/c06efba5-249e-44a1-8e50-551ac73b3da9,Brittany Pettersen,Democratic,22,upper,Brittany,Pettersen,,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2019a_pettersen-brittany.jpg?itok=_nHKIUdy,http://leg.colorado.gov/legislators/brittany-pettersen,http://leg.colorado.gov/legislators/brittany-pettersen;http://leg.colorado.gov/legislators,"200 E. Colfax;RM 346;Denver, CO 80203",brittany.pettersen.senate@state.co.us,303-866-4859,,,,,,,,,
